,Unnamed: 0,season,League_name,team_long_name_x,W,D,L,GF,GA,Pts,GD,rank,coordinates_x,coordinates_y,url,pic_idx
26,26,2014/2015,Scotland Premier League,Aberdeen,23,6,9,57,33,75,24,2,-2.088888888,57.15916667,https://upload.wikimedia.org/wikipedia/en/thumb/d/d4/Aberdeen_FC_logo.svg/360px-Aberdeen_FC_logo.svg.png,20004
27,27,2015/2016,Scotland Premier League,Aberdeen,22,5,11,62,48,71,14,2,-2.088888888,57.15916667,https://upload.wikimedia.org/wikipedia/en/thumb/d/d4/Aberdeen_FC_logo.svg/360px-Aberdeen_FC_logo.svg.png,20004
28,28,2011/2012,France Ligue 1,AC Ajaccio,9,14,15,40,61,41,-21,16,8.776444444,41.93076111,https://upload.wikimedia.org/wikipedia/en/1/1f/AC_Ajaccio_logo.svg,20005
29,29,2012/2013,France Ligue 1,AC Ajaccio,9,15,14,39,51,42,-12,15,8.776444444,41.93076111,https://upload.wikimedia.org/wikipedia/en/1/1f/AC_Ajaccio_logo.svg,20005
30,30,2013/2014,France Ligue 1,AC Ajaccio,4,11,23,37,72,23,-35,20,8.776444444,41.93076111,https://upload.wikimedia.org/wikipedia/en/1/1f/AC_Ajaccio_logo.svg,20005
31,31,2010/2011,France Ligue 1,AC Arles-Avignon,3,11,24,21,70,20,-49,20,4.845,43.928333,https://upload.wikimedia.org/wikipedia/en/b/b9/AC_Arles-Avignon_-_Logo.png,20006
32,32,2008/2009,Switzerland Super League,AC Bellinzona,11,10,15,44,51,43,-7,6,9.022304,46.198082,https://upload.wikimedia.org/wikipedia/en/e/e0/Ac_bellinzona.png,20007
33,33,2009/2010,Switzerland Super League,AC Bellinzona,7,4,25,42,92,25,-50,9,9.022304,46.198082,https://upload.wikimedia.org/wikipedia/en/e/e0/Ac_bellinzona.png,20007
34,34,2010/2011,Switzerland Super League,AC Bellinzona,7,11,18,42,75,32,-33,9,9.022304,46.198082,https://upload.wikimedia.org/wikipedia/en/e/e0/Ac_bellinzona.png,20007
35,35,2008/2009,Portugal Liga ZON Sagres,Académica de Coimbra,10,9,11,28,32,39,-4,7,-8.407777777,40.20333333,https://upload.wikimedia.org/wikipedia/commons/d/d5/Academicadecoimbra.png,20008
36,36,2009/2010,Portugal Liga ZON Sagres,Académica de Coimbra,8,9,13,37,42,33,-5,11,-8.407777777,40.20333333,https://upload.wikimedia.org/wikipedia/commons/d/d5/Academicadecoimbra.png,20008
37,37,2010/2011,Portugal Liga ZON Sagres,Académica de Coimbra,7,9,14,32,48,30,-16,14,-8.407777777,40.20333333,https://upload.wikimedia.org/wikipedia/commons/d/d5/Academicadecoimbra.png,20008
38,38,2011/2012,Portugal Liga ZON Sagres,Académica de Coimbra,7,8,15,27,38,29,-11,12,-8.407777777,40.20333333,https://upload.wikimedia.org/wikipedia/commons/d/d5/Academicadecoimbra.png,20008
39,39,2012/2013,Portugal Liga ZON Sagres,Académica de Coimbra,6,10,14,33,45,28,-12,11,-8.407777777,40.20333333,https://upload.wikimedia.org/wikipedia/commons/d/d5/Academicadecoimbra.png,20008
40,40,2013/2014,Portugal Liga ZON Sagres,Académica de Coimbra,9,10,11,25,35,37,-10,9,-8.407777777,40.20333333,https://upload.wikimedia.org/wikipedia/commons/d/d5/Academicadecoimbra.png,20008
41,41,2014/2015,Portugal Liga ZON Sagres,Académica de Coimbra,4,17,13,26,46,29,-20,14,-8.407777777,40.20333333,https://upload.wikimedia.org/wikipedia/commons/d/d5/Academicadecoimbra.png,20008
42,42,2015/2016,Portugal Liga ZON Sagres,Académica de Coimbra,5,10,19,32,60,25,-28,18,-8.407777777,40.20333333,https://upload.wikimedia.org/wikipedia/commons/d/d5/Academicadecoimbra.png,20008
43,43,2008/2009,Netherlands Eredivisie,ADO Den Haag,8,8,18,41,58,32,-17,14,4.383056,52.062778,https://upload.wikimedia.org/wikipedia/en/a/ad/ADO_Den_Haag_logo.svg,20009
44,44,2009/2010,Netherlands Eredivisie,ADO Den Haag,7,9,18,38,59,30,-21,15,4.383056,52.062778,https://upload.wikimedia.org/wikipedia/en/a/ad/ADO_Den_Haag_logo.svg,20009
45,45,2010/2011,Netherlands Eredivisie,ADO Den Haag,16,6,12,63,55,54,8,7,4.383056,52.062778,https://upload.wikimedia.org/wikipedia/en/a/ad/ADO_Den_Haag_logo.svg,20009
46,46,2011/2012,Netherlands Eredivisie,ADO Den Haag,8,8,18,38,67,32,-29,15,4.383056,52.062778,https://upload.wikimedia.org/wikipedia/en/a/ad/ADO_Den_Haag_logo.svg,20009
47,47,2012/2013,Netherlands Eredivisie,ADO Den Haag,9,13,12,49,63,40,-14,9,4.383056,52.062778,https://upload.wikimedia.org/wikipedia/en/a/ad/ADO_Den_Haag_logo.svg,20009
48,48,2013/2014,Netherlands Eredivisie,ADO Den Haag,12,7,15,45,64,43,-19,9,4.383056,52.062778,https://upload.wikimedia.org/wikipedia/en/a/ad/ADO_Den_Haag_logo.svg,20009
49,49,2014/2015,Netherlands Eredivisie,ADO Den Haag,9,10,15,44,53,37,-9,13,4.383056,52.062778,https://upload.wikimedia.org/wikipedia/en/a/ad/ADO_Den_Haag_logo.svg,20009
50,50,2015/2016,Netherlands Eredivisie,ADO Den Haag,10,13,11,48,49,43,-1,11,4.383056,52.062778,https://upload.wikimedia.org/wikipedia/en/a/ad/ADO_Den_Haag_logo.svg,20009
51,51,2008/2009,France Ligue 1,AJ Auxerre,16,7,15,35,35,55,0,8,3.588664,47.786753,https://upload.wikimedia.org/wikipedia/en/5/5b/AJ_Auxerre.svg,20010
52,52,2009/2010,France Ligue 1,AJ Auxerre,20,11,7,42,29,71,13,3,3.588664,47.786753,https://upload.wikimedia.org/wikipedia/en/5/5b/AJ_Auxerre.svg,20010
53,53,2010/2011,France Ligue 1,AJ Auxerre,10,19,9,45,41,49,4,9,3.588664,47.786753,https://upload.wikimedia.org/wikipedia/en/5/5b/AJ_Auxerre.svg,20010
54,54,2011/2012,France Ligue 1,AJ Auxerre,7,13,18,46,57,34,-11,20,3.588664,47.786753,https://upload.wikimedia.org/wikipedia/en/5/5b/AJ_Auxerre.svg,20010
55,55,2008/2009,Netherlands Eredivisie,Ajax,21,5,8,74,41,68,33,3,4.940442856,52.31420074,https://upload.wikimedia.org/wikipedia/en/thumb/7/79/Ajax_Amsterdam.svg/360px-Ajax_Amsterdam.svg.png,20011
56,56,2009/2010,Netherlands Eredivisie,Ajax,27,4,3,106,20,85,86,2,4.940442856,52.31420074,https://upload.wikimedia.org/wikipedia/en/thumb/7/79/Ajax_Amsterdam.svg/360px-Ajax_Amsterdam.svg.png,20011
57,57,2010/2011,Netherlands Eredivisie,Ajax,22,7,5,72,30,73,42,1,4.940442856,52.31420074,https://upload.wikimedia.org/wikipedia/en/thumb/7/79/Ajax_Amsterdam.svg/360px-Ajax_Amsterdam.svg.png,20011
58,58,2011/2012,Netherlands Eredivisie,Ajax,23,7,4,93,36,76,57,1,4.940442856,52.31420074,https://upload.wikimedia.org/wikipedia/en/thumb/7/79/Ajax_Amsterdam.svg/360px-Ajax_Amsterdam.svg.png,20011
59,59,2012/2013,Netherlands Eredivisie,Ajax,22,10,2,83,31,76,52,1,4.940442856,52.31420074,https://upload.wikimedia.org/wikipedia/en/thumb/7/79/Ajax_Amsterdam.svg/360px-Ajax_Amsterdam.svg.png,20011
60,60,2013/2014,Netherlands Eredivisie,Ajax,20,11,3,69,28,71,41,1,4.940442856,52.31420074,https://upload.wikimedia.org/wikipedia/en/thumb/7/79/Ajax_Amsterdam.svg/360px-Ajax_Amsterdam.svg.png,20011
61,61,2014/2015,Netherlands Eredivisie,Ajax,21,8,5,69,29,71,40,2,4.940442856,52.31420074,https://upload.wikimedia.org/wikipedia/en/thumb/7/79/Ajax_Amsterdam.svg/360px-Ajax_Amsterdam.svg.png,20011
62,62,2015/2016,Netherlands Eredivisie,Ajax,25,7,2,81,21,82,60,2,4.940442856,52.31420074,https://upload.wikimedia.org/wikipedia/en/thumb/7/79/Ajax_Amsterdam.svg/360px-Ajax_Amsterdam.svg.png,20011
63,63,2008/2009,Portugal Liga ZON Sagres,Amadora,8,10,12,26,38,34,-12,11,-9.227967,38.752036,https://upload.wikimedia.org/wikipedia/commons/thumb/0/05/SIMBOLO_CFEA.svg/220px-SIMBOLO_CFEA.svg.png,20012
64,64,2015/2016,France Ligue 1,Angers SCO,13,11,14,40,38,50,2,9,-0.530741,47.460458,https://upload.wikimedia.org/wikipedia/en/d/d4/Angers_SCO_logo.svg,20013
65,65,2008/2009,Poland Ekstraklasa,Arka Gdynia,7,9,14,27,39,30,-12,14,18.531214,54.493136,https://upload.wikimedia.org/wikipedia/en/f/f1/Arka_Gdynia_logo.png,20014
66,66,2009/2010,Poland Ekstraklasa,Arka Gdynia,7,7,16,28,39,28,-11,14,18.531214,54.493136,https://upload.wikimedia.org/wikipedia/en/f/f1/Arka_Gdynia_logo.png,20014
67,67,2010/2011,Poland Ekstraklasa,Arka Gdynia,6,10,14,22,43,28,-21,15,18.531214,54.493136,https://upload.wikimedia.org/wikipedia/en/f/f1/Arka_Gdynia_logo.png,20014
68,68,2008/2009,England Premier League,Arsenal,20,12,6,68,37,72,31,4,-0.012535766395097,51.6019402485702,https://upload.wikimedia.org/wikipedia/en/thumb/5/53/Arsenal_FC.svg/340px-Arsenal_FC.svg.png,20015
69,69,2009/2010,England Premier League,Arsenal,23,6,9,83,41,75,42,3,-0.012535766395097,51.6019402485702,https://upload.wikimedia.org/wikipedia/en/thumb/5/53/Arsenal_FC.svg/340px-Arsenal_FC.svg.png,20015
70,70,2010/2011,England Premier League,Arsenal,19,11,8,72,43,68,29,4,-0.012535766395097,51.6019402485702,https://upload.wikimedia.org/wikipedia/en/thumb/5/53/Arsenal_FC.svg/340px-Arsenal_FC.svg.png,20015
71,71,2011/2012,England Premier League,Arsenal,21,7,10,74,49,70,25,3,-0.012535766395097,51.6019402485702,https://upload.wikimedia.org/wikipedia/en/thumb/5/53/Arsenal_FC.svg/340px-Arsenal_FC.svg.png,20015
72,72,2012/2013,England Premier League,Arsenal,21,10,7,72,37,73,35,4,-0.012535766395097,51.6019402485702,https://upload.wikimedia.org/wikipedia/en/thumb/5/53/Arsenal_FC.svg/340px-Arsenal_FC.svg.png,20015
73,73,2013/2014,England Premier League,Arsenal,24,7,7,68,41,79,27,4,-0.012535766395097,51.6019402485702,https://upload.wikimedia.org/wikipedia/en/thumb/5/53/Arsenal_FC.svg/340px-Arsenal_FC.svg.png,20015
74,74,2014/2015,England Premier League,Arsenal,22,9,7,71,36,75,35,3,-0.012535766395097,51.6019402485702,https://upload.wikimedia.org/wikipedia/en/thumb/5/53/Arsenal_FC.svg/340px-Arsenal_FC.svg.png,20015
75,75,2015/2016,England Premier League,Arsenal,20,11,7,65,36,71,29,2,-0.012535766395097,51.6019402485702,https://upload.wikimedia.org/wikipedia/en/thumb/5/53/Arsenal_FC.svg/340px-Arsenal_FC.svg.png,20015
76,76,2008/2009,France Ligue 1,AS Monaco,11,12,15,41,45,45,-4,11,7.415556,43.727778,https://upload.wikimedia.org/wikipedia/en/b/ba/AS_Monaco_FC.svg,20016
77,77,2009/2010,France Ligue 1,AS Monaco,15,10,13,39,45,55,-6,8,7.415556,43.727778,https://upload.wikimedia.org/wikipedia/en/b/ba/AS_Monaco_FC.svg,20016
78,78,2010/2011,France Ligue 1,AS Monaco,9,17,12,36,40,44,-4,18,7.415556,43.727778,https://upload.wikimedia.org/wikipedia/en/b/ba/AS_Monaco_FC.svg,20016
79,79,2013/2014,France Ligue 1,AS Monaco,23,11,4,63,31,80,32,2,7.415556,43.727778,https://upload.wikimedia.org/wikipedia/en/b/ba/AS_Monaco_FC.svg,20016
80,80,2014/2015,France Ligue 1,AS Monaco,20,11,7,51,26,71,25,3,7.415556,43.727778,https://upload.wikimedia.org/wikipedia/en/b/ba/AS_Monaco_FC.svg,20016
81,81,2015/2016,France Ligue 1,AS Monaco,17,14,7,57,50,65,7,3,7.415556,43.727778,https://upload.wikimedia.org/wikipedia/en/b/ba/AS_Monaco_FC.svg,20016
82,82,2008/2009,France Ligue 1,AS Nancy-Lorraine,10,12,16,38,47,42,-9,15,6.210687,48.6955,https://upload.wikimedia.org/wikipedia/en/4/4d/AS_Nancy_logo.svg,20017
83,83,2009/2010,France Ligue 1,AS Nancy-Lorraine,13,9,16,46,53,48,-7,12,6.210687,48.6955,https://upload.wikimedia.org/wikipedia/en/4/4d/AS_Nancy_logo.svg,20017
84,84,2010/2011,France Ligue 1,AS Nancy-Lorraine,13,9,16,43,48,48,-5,13,6.210687,48.6955,https://upload.wikimedia.org/wikipedia/en/4/4d/AS_Nancy_logo.svg,20017
85,85,2011/2012,France Ligue 1,AS Nancy-Lorraine,11,12,15,38,48,45,-10,11,6.210687,48.6955,https://upload.wikimedia.org/wikipedia/en/4/4d/AS_Nancy_logo.svg,20017
86,86,2012/2013,France Ligue 1,AS Nancy-Lorraine,9,11,18,38,58,38,-20,18,6.210687,48.6955,https://upload.wikimedia.org/wikipedia/en/4/4d/AS_Nancy_logo.svg,20017
87,87,2008/2009,France Ligue 1,AS Saint-Étienne,11,7,20,40,56,40,-16,17,4.39,45.460833,https://upload.wikimedia.org/wikipedia/commons/2/2c/Logo_AS_Saint-%C3%89tienne.svg,20018
88,88,2009/2010,France Ligue 1,AS Saint-Étienne,10,10,18,27,45,40,-18,17,4.39,45.460833,https://upload.wikimedia.org/wikipedia/commons/2/2c/Logo_AS_Saint-%C3%89tienne.svg,20018
89,89,2010/2011,France Ligue 1,AS Saint-Étienne,12,13,13,46,47,49,-1,10,4.39,45.460833,https://upload.wikimedia.org/wikipedia/commons/2/2c/Logo_AS_Saint-%C3%89tienne.svg,20018
90,90,2011/2012,France Ligue 1,AS Saint-Étienne,16,9,13,49,45,57,4,7,4.39,45.460833,https://upload.wikimedia.org/wikipedia/commons/2/2c/Logo_AS_Saint-%C3%89tienne.svg,20018
91,91,2012/2013,France Ligue 1,AS Saint-Étienne,16,15,7,60,32,63,28,5,4.39,45.460833,https://upload.wikimedia.org/wikipedia/commons/2/2c/Logo_AS_Saint-%C3%89tienne.svg,20018
92,92,2013/2014,France Ligue 1,AS Saint-Étienne,20,9,9,56,34,69,22,4,4.39,45.460833,https://upload.wikimedia.org/wikipedia/commons/2/2c/Logo_AS_Saint-%C3%89tienne.svg,20018
93,93,2014/2015,France Ligue 1,AS Saint-Étienne,19,12,7,51,30,69,21,5,4.39,45.460833,https://upload.wikimedia.org/wikipedia/commons/2/2c/Logo_AS_Saint-%C3%89tienne.svg,20018
94,94,2015/2016,France Ligue 1,AS Saint-Étienne,17,7,14,42,37,58,5,6,4.39,45.460833,https://upload.wikimedia.org/wikipedia/commons/2/2c/Logo_AS_Saint-%C3%89tienne.svg,20018
95,95,2008/2009,England Premier League,Aston Villa,17,11,10,54,48,62,6,6,-1.668,52.676,https://upload.wikimedia.org/wikipedia/en/thumb/f/f9/Aston_Villa_FC_crest_%282016%29.svg/300px-Aston_Villa_FC_crest_%282016%29.svg.png,20019
96,96,2009/2010,England Premier League,Aston Villa,17,13,8,52,39,64,13,6,-1.668,52.676,https://upload.wikimedia.org/wikipedia/en/thumb/f/f9/Aston_Villa_FC_crest_%282016%29.svg/300px-Aston_Villa_FC_crest_%282016%29.svg.png,20019
97,97,2010/2011,England Premier League,Aston Villa,12,12,14,48,59,48,-11,9,-1.668,52.676,https://upload.wikimedia.org/wikipedia/en/thumb/f/f9/Aston_Villa_FC_crest_%282016%29.svg/300px-Aston_Villa_FC_crest_%282016%29.svg.png,20019
98,98,2011/2012,England Premier League,Aston Villa,7,17,14,37,53,38,-16,16,-1.668,52.676,https://upload.wikimedia.org/wikipedia/en/thumb/f/f9/Aston_Villa_FC_crest_%282016%29.svg/300px-Aston_Villa_FC_crest_%282016%29.svg.png,20019
99,99,2012/2013,England Premier League,Aston Villa,10,11,17,47,69,41,-22,15,-1.668,52.676,https://upload.wikimedia.org/wikipedia/en/thumb/f/f9/Aston_Villa_FC_crest_%282016%29.svg/300px-Aston_Villa_FC_crest_%282016%29.svg.png,20019
100,100,2013/2014,England Premier League,Aston Villa,10,8,20,39,61,38,-22,15,-1.668,52.676,https://upload.wikimedia.org/wikipedia/en/thumb/f/f9/Aston_Villa_FC_crest_%282016%29.svg/300px-Aston_Villa_FC_crest_%282016%29.svg.png,20019
101,101,2014/2015,England Premier League,Aston Villa,10,8,20,31,57,38,-26,17,-1.668,52.676,https://upload.wikimedia.org/wikipedia/en/thumb/f/f9/Aston_Villa_FC_crest_%282016%29.svg/300px-Aston_Villa_FC_crest_%282016%29.svg.png,20019
102,102,2015/2016,England Premier League,Aston Villa,3,8,27,27,76,17,-49,20,-1.668,52.676,https://upload.wikimedia.org/wikipedia/en/thumb/f/f9/Aston_Villa_FC_crest_%282016%29.svg/300px-Aston_Villa_FC_crest_%282016%29.svg.png,20019
103,103,2008/2009,Italy Serie A,Atalanta,13,8,17,45,48,47,-3,11,9.680833,45.708889,https://upload.wikimedia.org/wikipedia/en/thumb/6/66/AtalantaBC.svg/300px-AtalantaBC.svg.png,20020
104,104,2009/2010,Italy Serie A,Atalanta,9,8,21,37,53,35,-16,18,9.680833,45.708889,https://upload.wikimedia.org/wikipedia/en/thumb/6/66/AtalantaBC.svg/300px-AtalantaBC.svg.png,20020
105,105,2011/2012,Italy Serie A,Atalanta,13,11,11,40,40,50,0,9,9.680833,45.708889,https://upload.wikimedia.org/wikipedia/en/thumb/6/66/AtalantaBC.svg/300px-AtalantaBC.svg.png,20020
106,106,2012/2013,Italy Serie A,Atalanta,11,9,18,39,56,42,-17,15,9.680833,45.708889,https://upload.wikimedia.org/wikipedia/en/thumb/6/66/AtalantaBC.svg/300px-AtalantaBC.svg.png,20020
107,107,2013/2014,Italy Serie A,Atalanta,15,5,18,43,51,50,-8,11,9.680833,45.708889,https://upload.wikimedia.org/wikipedia/en/thumb/6/66/AtalantaBC.svg/300px-AtalantaBC.svg.png,20020
108,108,2014/2015,Italy Serie A,Atalanta,7,16,15,38,57,37,-19,17,9.680833,45.708889,https://upload.wikimedia.org/wikipedia/en/thumb/6/66/AtalantaBC.svg/300px-AtalantaBC.svg.png,20020
109,109,2015/2016,Italy Serie A,Atalanta,11,12,15,41,47,45,-6,13,9.680833,45.708889,https://upload.wikimedia.org/wikipedia/en/thumb/6/66/AtalantaBC.svg/300px-AtalantaBC.svg.png,20020
110,110,2008/2009,Spain LIGA BBVA,Athletic Club de Bilbao,12,8,18,47,62,44,-15,13,-2.949369,43.264205,https://upload.wikimedia.org/wikipedia/en/9/98/Club_Athletic_Bilbao_logo.svg,20021
111,111,2009/2010,Spain LIGA BBVA,Athletic Club de Bilbao,15,9,14,50,53,54,-3,8,-2.949369,43.264205,https://upload.wikimedia.org/wikipedia/en/9/98/Club_Athletic_Bilbao_logo.svg,20021
112,112,2010/2011,Spain LIGA BBVA,Athletic Club de Bilbao,18,4,16,59,55,58,4,6,-2.949369,43.264205,https://upload.wikimedia.org/wikipedia/en/9/98/Club_Athletic_Bilbao_logo.svg,20021
113,113,2011/2012,Spain LIGA BBVA,Athletic Club de Bilbao,12,13,13,49,52,49,-3,10,-2.949369,43.264205,https://upload.wikimedia.org/wikipedia/en/9/98/Club_Athletic_Bilbao_logo.svg,20021
114,114,2012/2013,Spain LIGA BBVA,Athletic Club de Bilbao,12,9,17,44,65,45,-21,12,-2.949369,43.264205,https://upload.wikimedia.org/wikipedia/en/9/98/Club_Athletic_Bilbao_logo.svg,20021
115,115,2013/2014,Spain LIGA BBVA,Athletic Club de Bilbao,20,10,8,66,39,70,27,4,-2.949369,43.264205,https://upload.wikimedia.org/wikipedia/en/9/98/Club_Athletic_Bilbao_logo.svg,20021
116,116,2014/2015,Spain LIGA BBVA,Athletic Club de Bilbao,15,10,13,42,41,55,1,7,-2.949369,43.264205,https://upload.wikimedia.org/wikipedia/en/9/98/Club_Athletic_Bilbao_logo.svg,20021
117,117,2015/2016,Spain LIGA BBVA,Athletic Club de Bilbao,18,8,12,58,45,62,13,5,-2.949369,43.264205,https://upload.wikimedia.org/wikipedia/en/9/98/Club_Athletic_Bilbao_logo.svg,20021
118,118,2008/2009,Spain LIGA BBVA,Atlético Madrid,20,7,11,80,57,67,23,4,-3.48,40.653,https://upload.wikimedia.org/wikipedia/en/thumb/f/f4/Atletico_Madrid_2017_logo.svg/300px-Atletico_Madrid_2017_logo.svg.png,20022
119,119,2009/2010,Spain LIGA BBVA,Atlético Madrid,13,8,17,57,61,47,-4,9,-3.48,40.653,https://upload.wikimedia.org/wikipedia/en/thumb/f/f4/Atletico_Madrid_2017_logo.svg/300px-Atletico_Madrid_2017_logo.svg.png,20022
120,120,2010/2011,Spain LIGA BBVA,Atlético Madrid,17,7,14,62,53,58,9,5,-3.48,40.653,https://upload.wikimedia.org/wikipedia/en/thumb/f/f4/Atletico_Madrid_2017_logo.svg/300px-Atletico_Madrid_2017_logo.svg.png,20022
121,121,2011/2012,Spain LIGA BBVA,Atlético Madrid,15,11,12,53,46,56,7,5,-3.48,40.653,https://upload.wikimedia.org/wikipedia/en/thumb/f/f4/Atletico_Madrid_2017_logo.svg/300px-Atletico_Madrid_2017_logo.svg.png,20022
122,122,2012/2013,Spain LIGA BBVA,Atlético Madrid,23,7,8,65,31,76,34,3,-3.48,40.653,https://upload.wikimedia.org/wikipedia/en/thumb/f/f4/Atletico_Madrid_2017_logo.svg/300px-Atletico_Madrid_2017_logo.svg.png,20022
123,123,2013/2014,Spain LIGA BBVA,Atlético Madrid,28,6,4,77,26,90,51,1,-3.48,40.653,https://upload.wikimedia.org/wikipedia/en/thumb/f/f4/Atletico_Madrid_2017_logo.svg/300px-Atletico_Madrid_2017_logo.svg.png,20022
