,Unnamed: 0,season,League_name,team_long_name_x,W,D,L,GF,GA,Pts,GD,rank,coordinates_x,coordinates_y,url,pic_idx
0,0,2010/2011,Germany 1. Bundesliga,1. FC Kaiserslautern,13,7,14,48,51,46,-3,7,7.775833,49.434444,https://upload.wikimedia.org/wikipedia/commons/d/d3/Logo_1_FC_Kaiserslautern.svg,20000
1,1,2011/2012,Germany 1. Bundesliga,1. FC Kaiserslautern,4,11,19,24,54,23,-30,18,7.775833,49.434444,https://upload.wikimedia.org/wikipedia/commons/d/d3/Logo_1_FC_Kaiserslautern.svg,20000
2,2,2008/2009,Germany 1. Bundesliga,1. FC Köln,11,6,17,35,50,39,-15,12,6.875,50.933611,https://upload.wikimedia.org/wikipedia/en/5/53/FC_Cologne_logo.svg,20001
3,3,2009/2010,Germany 1. Bundesliga,1. FC Köln,9,11,14,33,42,38,-9,13,6.875,50.933611,https://upload.wikimedia.org/wikipedia/en/5/53/FC_Cologne_logo.svg,20001
4,4,2010/2011,Germany 1. Bundesliga,1. FC Köln,13,5,16,47,62,44,-15,10,6.875,50.933611,https://upload.wikimedia.org/wikipedia/en/5/53/FC_Cologne_logo.svg,20001
5,5,2011/2012,Germany 1. Bundesliga,1. FC Köln,8,6,20,39,75,30,-36,17,6.875,50.933611,https://upload.wikimedia.org/wikipedia/en/5/53/FC_Cologne_logo.svg,20001
6,6,2014/2015,Germany 1. Bundesliga,1. FC Köln,9,13,12,34,40,40,-6,12,6.875,50.933611,https://upload.wikimedia.org/wikipedia/en/5/53/FC_Cologne_logo.svg,20001
7,7,2015/2016,Germany 1. Bundesliga,1. FC Köln,10,13,11,38,42,43,-4,9,6.875,50.933611,https://upload.wikimedia.org/wikipedia/en/5/53/FC_Cologne_logo.svg,20001
8,8,2009/2010,Germany 1. Bundesliga,1. FC Nürnberg,8,7,19,32,58,31,-26,16,11.125278,49.426389,https://upload.wikimedia.org/wikipedia/commons/f/fa/1._FC_N%C3%BCrnberg_logo.svg,20002
9,9,2010/2011,Germany 1. Bundesliga,1. FC Nürnberg,13,8,13,47,45,47,2,6,11.125278,49.426389,https://upload.wikimedia.org/wikipedia/commons/f/fa/1._FC_N%C3%BCrnberg_logo.svg,20002
10,10,2011/2012,Germany 1. Bundesliga,1. FC Nürnberg,12,6,16,38,49,42,-11,10,11.125278,49.426389,https://upload.wikimedia.org/wikipedia/commons/f/fa/1._FC_N%C3%BCrnberg_logo.svg,20002
11,11,2012/2013,Germany 1. Bundesliga,1. FC Nürnberg,11,11,12,39,47,44,-8,10,11.125278,49.426389,https://upload.wikimedia.org/wikipedia/commons/f/fa/1._FC_N%C3%BCrnberg_logo.svg,20002
12,12,2013/2014,Germany 1. Bundesliga,1. FC Nürnberg,5,11,18,37,70,26,-33,17,11.125278,49.426389,https://upload.wikimedia.org/wikipedia/commons/f/fa/1._FC_N%C3%BCrnberg_logo.svg,20002
13,13,2009/2010,Germany 1. Bundesliga,1. FSV Mainz 05,12,11,11,36,42,47,-6,9,8.322268157,49.96242212,https://upload.wikimedia.org/wikipedia/commons/9/9e/Logo_Mainz_05.svg,20003
14,14,2010/2011,Germany 1. Bundesliga,1. FSV Mainz 05,18,4,12,52,39,58,13,5,8.322268157,49.96242212,https://upload.wikimedia.org/wikipedia/commons/9/9e/Logo_Mainz_05.svg,20003
15,15,2011/2012,Germany 1. Bundesliga,1. FSV Mainz 05,9,12,13,47,51,39,-4,13,8.322268157,49.96242212,https://upload.wikimedia.org/wikipedia/commons/9/9e/Logo_Mainz_05.svg,20003
16,16,2012/2013,Germany 1. Bundesliga,1. FSV Mainz 05,10,12,12,42,44,42,-2,13,8.322268157,49.96242212,https://upload.wikimedia.org/wikipedia/commons/9/9e/Logo_Mainz_05.svg,20003
17,17,2013/2014,Germany 1. Bundesliga,1. FSV Mainz 05,16,5,13,52,54,53,-2,7,8.322268157,49.96242212,https://upload.wikimedia.org/wikipedia/commons/9/9e/Logo_Mainz_05.svg,20003
18,18,2014/2015,Germany 1. Bundesliga,1. FSV Mainz 05,9,13,12,45,47,40,-2,11,8.322268157,49.96242212,https://upload.wikimedia.org/wikipedia/commons/9/9e/Logo_Mainz_05.svg,20003
19,19,2015/2016,Germany 1. Bundesliga,1. FSV Mainz 05,14,8,12,46,42,50,4,6,8.322268157,49.96242212,https://upload.wikimedia.org/wikipedia/commons/9/9e/Logo_Mainz_05.svg,20003
20,20,2008/2009,Scotland Premier League,Aberdeen,14,11,13,41,40,53,1,4,-2.088888888,57.15916667,https://upload.wikimedia.org/wikipedia/en/thumb/d/d4/Aberdeen_FC_logo.svg/360px-Aberdeen_FC_logo.svg.png,20004
21,21,2009/2010,Scotland Premier League,Aberdeen,10,11,17,36,52,41,-16,9,-2.088888888,57.15916667,https://upload.wikimedia.org/wikipedia/en/thumb/d/d4/Aberdeen_FC_logo.svg/360px-Aberdeen_FC_logo.svg.png,20004
22,22,2010/2011,Scotland Premier League,Aberdeen,11,5,22,39,59,38,-20,9,-2.088888888,57.15916667,https://upload.wikimedia.org/wikipedia/en/thumb/d/d4/Aberdeen_FC_logo.svg/360px-Aberdeen_FC_logo.svg.png,20004
23,23,2011/2012,Scotland Premier League,Aberdeen,9,14,15,36,44,41,-8,9,-2.088888888,57.15916667,https://upload.wikimedia.org/wikipedia/en/thumb/d/d4/Aberdeen_FC_logo.svg/360px-Aberdeen_FC_logo.svg.png,20004
24,24,2012/2013,Scotland Premier League,Aberdeen,11,15,12,41,43,48,-2,7,-2.088888888,57.15916667,https://upload.wikimedia.org/wikipedia/en/thumb/d/d4/Aberdeen_FC_logo.svg/360px-Aberdeen_FC_logo.svg.png,20004
25,25,2013/2014,Scotland Premier League,Aberdeen,20,8,10,53,38,68,15,3,-2.088888888,57.15916667,https://upload.wikimedia.org/wikipedia/en/thumb/d/d4/Aberdeen_FC_logo.svg/360px-Aberdeen_FC_logo.svg.png,20004
