,season,League_name,team_long_name,age_mean,age_max,age_min,height_mean,height_max,height_min,weight_mean,weight_max,weight_min,right_foot,left_foot,nan_foot,best_player_name,rating,potential,speed,jumping,stamina,strength,url,player_idx,rank,width,team_idx
33,2008/2009,England Premier League,Sunderland,25.7,29,18,180.5,193.0,167.6,170.6,196,143,63.64,36.36,0.0,Djibril Cisse,78.5,84.0,88.0,81.0,80.0,77.0,https://upload.wikimedia.org/wikipedia/commons/b/b4/Djibril_Ciss%C3%A9_2013.jpg,10025,16.0,336,20253
34,2008/2009,England Premier League,Tottenham Hotspur,23.7,32,18,179.9,193.0,165.1,165.3,190,139,79.17,20.83,0.0,Robbie Keane,83.0,84.5,81.0,65.0,76.0,67.0,https://upload.wikimedia.org/wikipedia/commons/6/6f/FIFA_WC-qualification_2014_-_Austria_vs_Ireland_2013-09-10_-_Robbie_Keane_01.jpg,10026,8.0,385,20261
35,2008/2009,England Premier League,West Bromwich Albion,24.1,30,19,182.7,193.0,175.3,170.6,225,141,91.67,8.33,0.0,Abdoulaye Meite,74.0,79.0,60.0,80.0,72.0,91.0,0,40008,20.0,336,20284
36,2008/2009,England Premier League,West Ham United,25.0,32,18,181.6,193.0,170.2,165.8,198,141,76.0,20.0,4.0,Dean Ashton,81.0,83.0,75.0,73.0,76.0,89.0,https://upload.wikimedia.org/wikipedia/commons/0/01/Dean_ashton.jpg,10027,9.0,321,20285
37,2008/2009,England Premier League,Wigan Athletic,25.9,31,20,181.0,190.5,170.2,170.5,205,148,77.27,22.73,0.0,Antonio Valencia,78.5,81.0,82.0,63.0,76.5,63.0,https://upload.wikimedia.org/wikipedia/commons/8/8f/ECUADOR_VS_PER%C3%9A_-_RUSIA_2018_%2836912282531%29_%28cropped%29.jpg,10028,11.0,304,20287
38,2008/2009,France Ligue 1,AJ Auxerre,24.1,29,19,180.9,185.4,167.6,167.3,185,143,63.16,36.84,0.0,Thomas Kahlenberg,77.0,88.0,82.0,68.0,86.0,74.0,https://upload.wikimedia.org/wikipedia/commons/2/24/20140904_-_Thomas_Kahlenberg.jpg,10029,8.0,208,20010
39,2008/2009,France Ligue 1,AS Monaco,23.3,32,17,179.8,190.5,170.2,167.1,198,141,78.57,17.86,3.57,Jeremy Menez,80.0,85.0,86.0,70.0,68.0,58.0,https://upload.wikimedia.org/wikipedia/commons/0/00/J%C3%A9r%C3%A9my_M%C3%A9nez.jpg,10030,11.0,375,20016
40,2008/2009,France Ligue 1,AS Nancy-Lorraine,25.0,33,18,181.2,190.5,167.6,169.4,205,137,75.0,25.0,0.0,Abdeslam Ouaddou,77.0,79.5,72.0,67.0,88.0,82.0,https://upload.wikimedia.org/wikipedia/commons/6/65/Abdeslam_Ouaddou_2011.jpg,10031,15.0,304,20017
41,2008/2009,France Ligue 1,AS Saint-Étienne,24.4,31,19,179.4,190.5,170.2,164.4,212,143,76.19,23.81,0.0,Bafetimbi Gomis,81.0,87.0,86.0,75.0,75.0,82.0,https://upload.wikimedia.org/wikipedia/commons/6/65/Bafetimbi_Gomis_2015_%28cropped%29.jpg,10032,17.0,241,20018
42,2008/2009,France Ligue 1,FC Lorient,25.6,34,18,178.2,193.0,170.2,158.1,194,132,76.19,23.81,0.0,Marama Vahirua,74.0,76.0,89.0,52.0,69.0,57.0,https://upload.wikimedia.org/wikipedia/commons/0/0c/Marama_Vahirua.jpg,10033,10.0,280,20084
43,2008/2009,France Ligue 1,FC Nantes,24.8,33,18,184.6,193.0,175.3,173.0,194,143,59.09,40.91,0.0,Ivan Klasnic,76.0,85.0,72.5,73.0,65.5,75.0,https://upload.wikimedia.org/wikipedia/commons/2/2e/10._Tag_der_Legenden_2014_04.jpg,10034,19.0,506,20087
44,2008/2009,France Ligue 1,FC Sochaux-Montbéliard,24.8,33,18,179.4,185.4,170.2,166.4,194,134,76.0,24.0,0.0,Stephane Dalmat,76.0,81.0,77.0,63.0,77.0,70.0,https://upload.wikimedia.org/wikipedia/commons/3/35/Dalmat.jpg,10035,14.0,288,20093
45,2008/2009,France Ligue 1,Girondins de Bordeaux,24.4,33,18,181.1,190.5,172.7,170.1,194,143,84.21,15.79,0.0,Marc Planus,82.5,85.0,76.5,82.0,84.0,84.0,https://upload.wikimedia.org/wikipedia/commons/5/58/Marc_Planus_2009_%28cropped%29.jpg,10036,1.0,270,20113
46,2008/2009,France Ligue 1,Grenoble Foot 38,26.3,35,18,180.3,193.0,170.2,166.3,196,143,82.61,17.39,0.0,David Jemmali,73.0,80.0,71.0,71.0,69.0,76.0,https://upload.wikimedia.org/wikipedia/commons/a/a9/David_Jemmali_%282007%29.jpg,10037,13.0,529,20118
47,2008/2009,France Ligue 1,LOSC Lille,24.5,34,17,180.9,193.0,167.6,173.9,198,150,76.19,23.81,0.0,Michel Bastos,80.0,86.0,84.0,77.0,81.0,72.0,https://upload.wikimedia.org/wikipedia/commons/c/c9/Michel_Bastos_2013-06-29.jpg,10038,5.0,285,20159
48,2008/2009,France Ligue 1,Le Havre AC,24.8,31,18,181.2,188.0,167.6,169.6,192,141,75.0,25.0,0.0,Nicolas Douchez,76.5,79.5,58.0,60.0,46.0,52.0,https://upload.wikimedia.org/wikipedia/commons/0/02/Nicolas_Douchez_%28RC_Lens%29.jpg,10039,20.0,208,20147
49,2008/2009,France Ligue 1,Le Mans FC,22.8,31,20,181.9,195.6,170.2,168.6,212,143,55.0,45.0,0.0,Thorstein Helstad,76.0,77.0,70.0,67.0,62.0,77.0,https://upload.wikimedia.org/wikipedia/commons/4/48/Thorstein_Helstad_2006_05_04_%28cropped%29.jpg,10040,16.0,320,20148
50,2008/2009,France Ligue 1,OGC Nice,25.8,35,19,179.8,188.0,170.2,164.4,185,143,78.95,21.05,0.0,David Hellebuyck,75.0,85.0,83.0,71.0,85.0,73.0,https://upload.wikimedia.org/wikipedia/commons/8/88/David_Hellebuyck.jpg,10041,9.0,315,20178
51,2008/2009,France Ligue 1,Olympique Lyonnais,25.3,33,18,182.2,190.5,172.7,171.1,198,143,80.0,20.0,0.0,Karim Benzema,85.0,91.0,85.0,74.0,72.0,80.0,https://upload.wikimedia.org/wikipedia/commons/e/e4/Karim_Benzema_2018.jpg,10042,3.0,264,20180
52,2008/2009,France Ligue 1,Olympique de Marseille,25.5,34,20,179.5,193.0,162.6,166.7,196,128,72.73,22.73,4.54,Mamadou Niang,83.0,87.0,74.0,57.0,68.0,76.0,https://upload.wikimedia.org/wikipedia/commons/a/ac/Mamadou_Niang_2011_%281%29.jpg,10043,2.0,312,20179
53,2008/2009,France Ligue 1,Paris Saint-Germain,26.0,35,18,181.3,193.0,165.1,167.6,183,137,72.22,22.22,5.56,Jerome Rothen,81.0,72.0,83.0,40.0,80.0,71.0,https://upload.wikimedia.org/wikipedia/commons/0/0c/Rothen.jpg,10044,6.0,354,20184
54,2008/2009,France Ligue 1,SM Caen,26.2,31,22,178.1,190.5,162.6,161.7,185,146,83.33,16.67,0.0,Steve Savidan,79.5,83.0,77.0,76.0,68.0,56.0,https://upload.wikimedia.org/wikipedia/commons/d/d8/Steve_Savidan_publess.jpg,10045,18.0,367,20239
55,2008/2009,France Ligue 1,Stade Rennais FC,24.6,34,19,182.9,193.0,172.7,172.5,198,146,70.0,30.0,0.0,Jimmy Briand,77.5,86.0,86.0,79.0,74.0,68.0,https://upload.wikimedia.org/wikipedia/commons/8/84/Lens_-_Girondins_de_Bordeaux_%2819-09-2020%29_9.jpg,10046,7.0,314,20250
56,2008/2009,France Ligue 1,Toulouse FC,23.1,28,18,182.3,193.0,172.7,171.8,198,143,63.16,36.84,0.0,Jeremy Mathieu,77.0,85.0,71.0,64.0,82.0,89.0,https://upload.wikimedia.org/wikipedia/commons/3/31/J%C3%A9r%C3%A9my_Mathieu_18102014_%28cropped%29.jpg,10047,4.0,346,20262
57,2008/2009,France Ligue 1,Valenciennes FC,26.8,33,21,178.4,188.0,170.2,162.0,187,139,70.0,30.0,0.0,Johan Audel,75.0,79.0,75.0,62.0,79.0,71.0,https://upload.wikimedia.org/wikipedia/commons/b/b1/Johan_audel.jpg,10048,12.0,368,20273
58,2008/2009,Germany 1. Bundesliga,1. FC Köln,25.4,31,18,183.1,193.0,165.1,170.1,201,141,76.19,23.81,0.0,Petit,78.5,82.0,66.0,63.0,87.0,78.0,0,40009,12.0,631,20001
59,2008/2009,Germany 1. Bundesliga,Bayer 04 Leverkusen,23.1,32,18,184.6,193.0,177.8,175.4,201,154,68.75,31.25,0.0,Simon Rolfes,80.5,85.0,74.0,74.0,88.0,76.0,https://upload.wikimedia.org/wikipedia/commons/a/a6/Simon_Rolfes_2019.jpg,10049,9.0,301,20025
60,2008/2009,Germany 1. Bundesliga,Borussia Dortmund,25.4,34,19,181.8,193.0,167.6,171.7,203,143,72.73,27.27,0.0,Alexander Frei,81.0,84.0,74.0,72.0,69.0,72.0,https://upload.wikimedia.org/wikipedia/commons/b/b7/Alex_Frei.jpg,10050,6.0,309,20033
61,2008/2009,Germany 1. Bundesliga,Borussia Mönchengladbach,25.5,35,18,182.4,195.6,170.2,173.2,207,141,65.22,34.78,0.0,Marko Marin,77.0,89.0,80.0,47.0,52.0,37.5,https://upload.wikimedia.org/wikipedia/commons/9/9d/Marko_Marin_%28Sevilla%29.jpg,10051,15.0,280,20034
62,2008/2009,Germany 1. Bundesliga,DSC Arminia Bielefeld,26.2,34,20,181.9,190.5,170.2,168.1,185,143,73.68,26.32,0.0,Artur Wichniarek,76.0,77.0,82.0,64.0,68.0,66.0,https://upload.wikimedia.org/wikipedia/commons/7/76/Artur_Wichniarek_-_Hertha_BSC_Berlin_%282%29.jpg,10052,18.0,280,20059
63,2008/2009,Germany 1. Bundesliga,Eintracht Frankfurt,24.3,32,19,182.8,195.6,172.7,174.8,212,152,75.0,20.0,5.0,Ioannis Amanatidis,77.0,82.0,88.0,75.0,70.0,70.0,https://upload.wikimedia.org/wikipedia/commons/f/f4/Ioannis_Amanatidis_im_Eintracht_Frankfurt_Museum.JPG,10053,13.0,446,20064
64,2008/2009,Germany 1. Bundesliga,FC Bayern Munich,26.2,33,18,183.7,198.1,170.2,177.5,209,146,89.47,10.53,0.0,Franck Ribery,88.0,92.0,93.0,58.0,86.0,64.0,https://upload.wikimedia.org/wikipedia/commons/b/bc/Franck_Ribery_2019_%28cropped%29.jpg,10054,2.0,320,20078
65,2008/2009,Germany 1. Bundesliga,FC Energie Cottbus,28.0,33,22,183.7,193.0,172.7,173.9,190,150,68.42,31.58,0.0,Jan Rajnoch,72.0,75.0,66.5,71.0,75.0,73.0,https://upload.wikimedia.org/wikipedia/commons/3/3d/Jan_Rajnoch_Pic.JPG,10055,16.0,297,20080
66,2008/2009,Germany 1. Bundesliga,FC Schalke 04,25.8,34,18,183.7,198.1,170.2,177.9,205,146,63.16,36.84,0.0,Marcelo Jose Bordon,85.0,86.5,66.0,85.0,82.5,92.5,https://upload.wikimedia.org/wikipedia/commons/3/3d/Marcelo_Bordon.jpg,10056,8.0,630,20091
67,2008/2009,Germany 1. Bundesliga,Hamburger SV,25.5,32,19,184.0,193.0,170.2,175.9,207,132,60.0,40.0,0.0,Mladen Petric,80.5,86.0,78.0,71.0,69.0,73.0,https://upload.wikimedia.org/wikipedia/commons/1/1b/Mladen_Petric.jpg,10057,5.0,315,20120
68,2008/2009,Germany 1. Bundesliga,Hannover 96,27.0,38,18,181.3,190.5,165.1,170.5,198,139,72.73,27.27,0.0,Mario Eggimann,77.5,82.0,72.0,70.0,75.0,81.0,https://upload.wikimedia.org/wikipedia/commons/3/37/KSC_0708_5_Eggimann_01.jpg,10058,11.0,279,20122
69,2008/2009,Germany 1. Bundesliga,Hertha BSC Berlin,25.4,32,20,182.1,195.6,175.3,172.9,209,152,64.71,11.76,23.53,Josip Simunic,81.0,81.5,75.0,82.0,81.0,78.0,https://upload.wikimedia.org/wikipedia/commons/b/b1/3_Simunic.JPG,10059,4.0,280,20126
70,2008/2009,Germany 1. Bundesliga,Karlsruher SC,25.7,32,19,183.0,193.0,170.2,172.0,196,143,73.91,26.09,0.0,Maik Franz,76.0,78.0,75.0,79.0,75.0,85.0,https://upload.wikimedia.org/wikipedia/commons/c/cb/Maik_Franz.jpg,10060,17.0,292,20135
71,2008/2009,Germany 1. Bundesliga,SV Werder Bremen,24.7,32,19,186.8,198.1,177.8,181.6,214,161,76.19,23.81,0.0,Per Mertesacker,84.5,89.0,73.0,77.0,79.0,84.0,https://upload.wikimedia.org/wikipedia/commons/9/97/FIFA_WC-qualification_2014_-_Austria_vs._Germany_2012-09-11_-_Per_Mertesacker_01_%28cropped%29.JPG,10061,10.0,318,20255
72,2008/2009,Germany 1. Bundesliga,TSG 1899 Hoffenheim,22.7,29,18,184.3,193.0,170.2,174.3,194,148,66.67,33.33,0.0,Boubacar Sanogo,77.5,82.0,84.5,76.0,68.0,73.0,https://upload.wikimedia.org/wikipedia/commons/1/15/Boubacar_Sanogo_-_SV_Werder_Bremen_%281%29.jpg,10062,7.0,280,20264
73,2008/2009,Germany 1. Bundesliga,VfB Stuttgart,24.8,31,19,181.9,193.0,165.1,172.6,198,143,75.0,25.0,0.0,Mario Gomez,84.0,90.5,84.0,85.0,68.0,84.0,https://upload.wikimedia.org/wikipedia/commons/8/8e/Mario_gomez.jpg,10063,3.0,337,20274
74,2008/2009,Germany 1. Bundesliga,VfL Bochum,26.9,33,20,183.8,198.1,175.3,176.5,207,154,72.73,27.27,0.0,Shinji Ono,76.5,74.0,53.0,66.0,75.0,67.0,https://upload.wikimedia.org/wikipedia/commons/a/a6/Shinji_Ono_WSW.jpg,10064,14.0,304,20275
75,2008/2009,Germany 1. Bundesliga,VfL Wolfsburg,24.5,29,21,181.9,193.0,167.6,170.4,203,134,72.22,27.78,0.0,Andrea Barzagli,80.0,84.0,72.0,81.0,80.0,82.0,https://upload.wikimedia.org/wikipedia/commons/8/8e/Andrea_Barzagli_BGR-ITA_2012.jpg,10065,1.0,266,20276
76,2008/2009,Italy Serie A,Atalanta,26.0,35,20,180.8,198.1,172.7,167.9,194,143,68.18,31.82,0.0,Cristiano Doni,78.0,84.0,76.0,65.0,78.0,83.5,https://upload.wikimedia.org/wikipedia/commons/4/4c/Cristiano_Doni.jpg,10066,11.0,253,20020
77,2008/2009,Italy Serie A,Bologna,27.7,35,18,180.0,193.0,170.2,161.9,181,141,82.61,17.39,0.0,Pablo Osvaldo,76.0,87.0,79.0,79.0,78.0,72.0,https://upload.wikimedia.org/wikipedia/commons/d/d2/Pablo_Daniel_Osvaldo_BGR-ITA_2012.jpg,10067,17.0,330,20031
78,2008/2009,Italy Serie A,Cagliari,25.9,34,20,180.9,188.0,170.2,167.0,187,139,78.95,21.05,0.0,Robert Acquafresca,77.0,86.0,75.0,80.0,79.0,75.0,https://upload.wikimedia.org/wikipedia/commons/4/4c/Acquafresca.png,10068,9.0,0,20040
79,2008/2009,Italy Serie A,Catania,26.4,33,20,182.3,198.1,172.7,171.9,194,146,77.27,22.73,0.0,Pablo Martin Ledesma,77.0,82.0,77.0,68.0,84.0,73.0,0,40010,15.0,280,20043
80,2008/2009,Italy Serie A,Chievo Verona,27.7,32,23,181.4,190.5,170.2,171.0,196,150,78.26,17.39,4.35,Mario Yepes,80.0,89.0,75.0,78.0,82.0,86.0,https://upload.wikimedia.org/wikipedia/commons/b/b9/Mario_Yepes_02.JPG,10069,16.0,336,20051
81,2008/2009,Italy Serie A,Fiorentina,25.7,32,18,183.0,193.0,177.8,171.7,201,154,78.26,21.74,0.0,Adrian Mutu,85.0,85.0,83.0,69.0,72.0,77.0,https://upload.wikimedia.org/wikipedia/commons/2/2b/Adrian_Mutu_2.jpg,10070,5.0,385,20105
82,2008/2009,Italy Serie A,Genoa,25.6,32,20,181.7,188.0,175.3,170.1,192,148,82.35,17.65,0.0,Diego Milito,82.5,85.0,79.5,84.0,72.5,78.0,https://upload.wikimedia.org/wikipedia/commons/a/a8/Diego_Milito_-_Inter_Mailand_%283%29.jpg,10071,4.0,280,20109
83,2008/2009,Italy Serie A,Inter,27.0,35,17,182.4,195.6,172.7,175.3,209,148,72.73,27.27,0.0,Zlatan Ibrahimovic,89.0,94.0,81.0,78.0,70.0,82.0,https://upload.wikimedia.org/wikipedia/commons/0/09/Zlatan_Ibrahimovi%C4%87_June_2018.jpg,10072,1.0,290,20130
84,2008/2009,Italy Serie A,Juventus,27.2,35,19,182.3,190.5,165.1,170.1,190,130,81.82,18.18,0.0,Alessandro Del Piero,87.0,90.0,78.0,62.0,72.0,67.0,https://upload.wikimedia.org/wikipedia/commons/c/cc/Alessandro_Del_Piero_in_2014.jpg,10073,3.0,377,20133
85,2008/2009,Italy Serie A,Lazio,25.8,35,19,182.0,193.0,167.6,169.4,194,148,70.0,30.0,0.0,Tommaso Rocchi,84.0,85.0,79.0,76.0,79.0,80.0,https://upload.wikimedia.org/wikipedia/commons/8/88/Rocchi_Tommaso.jpg,10074,10.0,315,20146
86,2008/2009,Italy Serie A,Lecce,26.5,33,21,181.9,190.5,172.7,168.5,196,134,83.33,16.67,0.0,Andrea Zanchetta,75.0,80.0,51.0,87.0,77.0,73.0,0,40011,20.0,280,20149
87,2008/2009,Italy Serie A,Milan,29.5,40,18,181.9,190.5,177.8,168.5,187,148,78.95,21.05,0.0,Andrea Pirlo,87.0,91.5,66.0,64.0,81.5,70.0,https://upload.wikimedia.org/wikipedia/commons/1/1a/Save_the_Dream_at_the_Supercoppa_%2829879781574%29_%28cropped%29.jpg,10075,2.0,280,20164
88,2008/2009,Italy Serie A,Napoli,25.6,31,20,179.5,188.0,170.2,167.3,196,141,80.95,19.05,0.0,Ezequiel Lavezzi,82.0,86.5,87.0,55.0,79.0,67.0,https://upload.wikimedia.org/wikipedia/commons/f/f2/Kiev-PSG_%287%29.jpg,10076,12.0,279,20171
