,season,League_name,team_long_name,age_mean,age_max,age_min,height_mean,height_max,height_min,weight_mean,weight_max,weight_min,right_foot,left_foot,nan_foot,best_player_name,rating,potential,speed,jumping,stamina,strength,url,player_idx,rank,width,team_idx
0,2008/2009,Belgium Jupiler League,Beerschot AC,26.5,36,19,180.3,188.0,175.3,168.3,183,152,66.67,26.67,6.66,Ivan Leko,71.0,74.0,56.5,53.0,65.5,64.5,https://upload.wikimedia.org/wikipedia/commons/e/e5/Ivan_leko-1525200440.jpg,10000,13.0,291,20026
1,2008/2009,Belgium Jupiler League,Club Brugge KV,24.6,34,19,183.5,193.0,172.7,173.1,201,146,68.75,31.25,0.0,Wesley Sonck,73.0,75.0,74.0,73.0,69.0,66.0,https://upload.wikimedia.org/wikipedia/commons/5/51/Wesley_Sonck.jpg,10001,4.0,330,20052
2,2008/2009,Belgium Jupiler League,FCV Dender EH,24.7,34,21,181.5,188.0,172.7,169.5,187,143,63.64,36.36,0.0,Eric Deflandre,64.0,73.0,60.0,67.0,61.0,64.0,https://upload.wikimedia.org/wikipedia/commons/6/6f/Eric_Deflandre.jpg,10002,15.0,281,20102
3,2008/2009,Belgium Jupiler League,KAA Gent,24.9,30,19,184.3,193.0,172.7,172.6,183,154,81.25,18.75,0.0,Bryan Ruiz,71.0,76.0,77.0,76.0,65.0,62.0,https://upload.wikimedia.org/wikipedia/commons/4/4e/Bra-Cos_%2814%29.jpg,10003,3.0,323,20134
4,2008/2009,Belgium Jupiler League,KRC Genk,22.7,26,18,182.9,190.5,170.2,167.1,198,134,64.71,35.29,0.0,Tom de Mul,70.5,76.0,78.5,67.0,68.0,47.0,https://upload.wikimedia.org/wikipedia/commons/e/e9/Tom_de_mul.JPG,10004,8.0,221,20139
5,2008/2009,Belgium Jupiler League,KSV Cercle Brugge,27.3,32,20,182.4,190.5,175.3,170.7,192,150,66.67,26.67,6.66,Thomas Buffel,72.0,76.0,75.0,64.0,78.0,56.0,https://upload.wikimedia.org/wikipedia/commons/1/14/Thomas_Buffel.JPG,10005,9.0,360,20140
6,2008/2009,Belgium Jupiler League,KSV Roeselare,24.7,36,19,181.2,188.0,172.7,167.4,187,150,80.0,20.0,0.0,"Stefaan Tanghe,18",66.0,70.0,58.0,87.0,72.0,58.0,0,40000,16.0,336,20141
7,2008/2009,Belgium Jupiler League,KV Kortrijk,24.3,30,18,181.8,193.0,175.3,166.3,196,143,66.67,33.33,0.0,Mustapha Oussalah,66.0,69.0,68.0,64.0,68.0,59.0,0,40001,14.0,336,20142
8,2008/2009,Belgium Jupiler League,KV Mechelen,23.2,29,19,182.9,193.0,172.7,171.0,196,139,93.33,6.67,0.0,Nana Asare,66.0,72.0,76.0,68.0,67.0,42.0,0,40002,10.0,336,20143
9,2008/2009,Belgium Jupiler League,KVC Westerlo,26.2,37,19,181.9,190.5,175.3,165.8,183,139,69.23,30.77,0.0,Lukas Zelenka,70.0,72.0,71.0,76.0,64.0,65.0,https://upload.wikimedia.org/wikipedia/commons/c/c9/Lukas_Zelenka.jpg,10006,6.0,214,20145
10,2008/2009,Belgium Jupiler League,RAEC Mons,24.3,31,19,181.2,190.5,170.2,171.6,201,150,71.43,28.57,0.0,Mustapha Jarju Alasan,68.0,72.0,73.0,69.0,61.0,72.0,0,40003,18.0,336,20198
11,2008/2009,Belgium Jupiler League,RSC Anderlecht,23.9,32,18,182.9,193.0,167.6,171.7,207,134,77.78,22.22,0.0,Lucas Biglia,74.0,80.0,65.0,58.0,76.0,67.0,https://upload.wikimedia.org/wikipedia/commons/a/ad/Lucas_Biglia_%28cropped%29.jpg,10007,1.0,278,20221
12,2008/2009,Belgium Jupiler League,Royal Excel Mouscron,23.0,28,18,181.6,193.0,167.6,170.5,187,143,80.0,20.0,0.0,Gonzague Vandooren,62.5,64.0,67.0,59.0,79.0,72.0,0,40004,11.0,277,20220
13,2008/2009,Belgium Jupiler League,SV Zulte-Waregem,24.1,30,19,181.3,193.0,170.2,167.0,201,143,68.75,25.0,6.25,Kevin Roelandts,67.0,69.0,61.0,60.0,58.0,71.0,0,40005,5.0,280,20256
14,2008/2009,Belgium Jupiler League,Sporting Charleroi,23.1,29,18,182.4,193.0,172.7,169.8,187,143,63.64,27.27,9.09,Abdelmajid Oulmers,68.0,69.0,70.0,82.0,71.0,64.0,https://upload.wikimedia.org/wikipedia/commons/c/c6/Abdelmajid_Oulmers_-_Sporting_Charleroi.JPG,10008,12.0,269,20242
15,2008/2009,Belgium Jupiler League,Sporting Lokeren,24.7,35,18,181.2,188.0,167.6,169.6,185,137,91.67,8.33,0.0,Mario Carevic,68.0,66.0,33.0,55.0,60.0,78.0,0,40006,7.0,273,20244
16,2008/2009,Belgium Jupiler League,Standard de Liège,22.4,27,17,182.9,195.6,175.3,173.0,209,148,75.0,25.0,0.0,Milan Jovanovic,75.0,78.0,83.5,71.0,78.0,72.5,0,40007,2.0,280,20251
17,2008/2009,Belgium Jupiler League,Tubize,24.9,32,20,180.0,193.0,165.1,166.7,185,137,85.71,14.29,0.0,Quinton Fortune,72.0,76.0,67.0,79.0,85.0,70.0,https://upload.wikimedia.org/wikipedia/commons/0/01/Fortune%2C_Quinton.jpg,10009,17.0,630,20265
18,2008/2009,England Premier League,Arsenal,22.4,30,17,180.9,193.0,172.7,165.4,196,143,76.19,23.81,0.0,Cesc Fabregas,87.5,91.0,74.0,65.0,92.0,66.0,https://upload.wikimedia.org/wikipedia/commons/b/b4/Cesc_Fabregas_vs_Maccabi_Tel-Aviv%2C_Sep_2015.jpg,10010,4.0,261,20015
19,2008/2009,England Premier League,Aston Villa,25.5,30,21,181.9,193.0,175.3,175.6,207,143,86.67,13.33,0.0,Gareth Barry,83.5,85.0,66.0,77.0,85.5,80.5,https://upload.wikimedia.org/wikipedia/commons/0/08/Gareth_Barry_2014_2.jpg,10011,6.0,294,20019
20,2008/2009,England Premier League,Blackburn Rovers,26.8,37,19,182.6,193.0,175.3,179.3,220,159,72.73,27.27,0.0,Roque Santa Cruz,82.0,84.5,78.0,89.0,70.0,82.0,https://upload.wikimedia.org/wikipedia/commons/0/04/Roque_Luis_Santa_Cruz.jpg,10012,15.0,301,20028
21,2008/2009,England Premier League,Bolton Wanderers,25.6,31,19,183.8,193.0,175.3,173.2,209,150,85.0,15.0,0.0,Sebastien Puygrenier,81.0,89.0,63.0,77.0,81.0,82.0,https://upload.wikimedia.org/wikipedia/commons/4/4e/S%C3%A9bastien_Puygrenier.JPG,10013,13.0,282,20032
22,2008/2009,England Premier League,Chelsea,26.8,32,20,181.9,188.0,175.3,173.0,201,146,85.0,15.0,0.0,John Terry,87.0,90.0,66.5,91.0,81.5,93.5,https://upload.wikimedia.org/wikipedia/commons/4/43/Chelsea_5_Sunderland_1_%2834821048206%29_%28cropped%29.jpg,10014,3.0,267,20050
23,2008/2009,England Premier League,Everton,24.4,33,16,181.0,193.0,170.2,166.7,196,141,77.27,22.73,0.0,Mikel Arteta,82.5,84.5,77.0,70.0,79.5,62.5,https://upload.wikimedia.org/wikipedia/commons/b/bc/Mikel_Arteta_%28cropped%29.jpg,10015,5.0,255,20070
24,2008/2009,England Premier League,Fulham,27.8,31,25,182.4,195.6,170.2,169.5,203,141,76.47,23.53,0.0,Brede Hangeland,80.5,81.5,76.0,89.0,80.0,88.0,https://upload.wikimedia.org/wikipedia/commons/6/6f/2012-08_Hangeland.jpg,10016,7.0,245,20108
25,2008/2009,England Premier League,Hull City,27.8,39,21,182.4,195.6,170.2,173.0,198,148,76.0,24.0,0.0,"Daniel Cousin,20",76.5,82.0,80.0,74.0,72.0,78.0,https://upload.wikimedia.org/wikipedia/commons/b/bb/Daniel_Cousin_Hull_City_v._Aberdeen_1.png,10017,17.0,0,20128
26,2008/2009,England Premier League,Liverpool,24.8,34,19,182.9,195.6,172.7,171.3,194,146,77.27,22.73,0.0,Steven Gerrard,88.0,90.0,84.0,68.0,93.0,83.0,https://upload.wikimedia.org/wikipedia/commons/d/d5/Steven_Gerrard_2018.jpg,10018,2.0,279,20157
27,2008/2009,England Premier League,Manchester City,23.9,34,18,180.5,193.0,165.1,167.7,209,132,71.43,25.0,3.57,Robinho,86.0,90.0,86.0,54.0,71.0,58.0,https://upload.wikimedia.org/wikipedia/commons/0/08/Robinho061115-2.jpg,10019,10.0,315,20161
28,2008/2009,England Premier League,Manchester United,24.6,34,16,181.7,193.0,170.2,169.6,194,146,91.67,8.33,0.0,Cristiano Ronaldo,90.5,94.0,94.0,91.0,89.5,76.5,https://upload.wikimedia.org/wikipedia/commons/8/8c/Cristiano_Ronaldo_2018.jpg,10020,1.0,279,20162
29,2008/2009,England Premier League,Middlesbrough,23.4,28,19,182.4,195.6,172.7,165.0,198,134,68.18,31.82,0.0,"Afonso Alves,24",82.0,88.0,84.0,76.0,68.0,77.0,https://upload.wikimedia.org/wikipedia/commons/8/86/Afonso_Alves_1.jpg,10021,19.0,405,20163
30,2008/2009,England Premier League,Newcastle United,25.3,33,19,181.1,190.5,170.2,172.0,209,154,72.0,24.0,4.0,Obafemi Martins,81.0,86.0,93.0,79.0,74.0,73.0,https://upload.wikimedia.org/wikipedia/commons/2/25/Martins_Llevant.jpg,10022,18.0,216,20174
31,2008/2009,England Premier League,Portsmouth,26.7,33,18,183.5,200.7,170.2,173.6,194,148,79.17,20.83,0.0,Lassana Diarra,81.0,83.5,79.0,65.0,90.0,82.0,https://upload.wikimedia.org/wikipedia/commons/4/43/Lassana_Diarra_2014.jpg,10023,14.0,300,20194
32,2008/2009,England Premier League,Stoke City,26.7,31,20,184.9,193.0,172.7,172.6,218,141,80.0,20.0,0.0,Dave Kitson,76.0,79.0,75.0,73.0,76.0,83.0,https://upload.wikimedia.org/wikipedia/commons/1/16/Dave_Kitson.png,10024,12.0,0,20252
