season,League_name,team_long_name_x,W,D,L,GF,GA,Pts,GD,rank,coordinates_x,coordinates_y,team_figure_url
2008/2009,Germany 1. Bundesliga,Eintracht Frankfurt,8,9,17,39,60,33,-21,13,8.645278,50.068611,
2008/2009,Germany 1. Bundesliga,FC Bayern Munich,20,7,7,71,42,67,29,2,11.574444,48.110833,
2008/2009,Germany 1. Bundesliga,FC Energie Cottbus,8,6,20,30,57,30,-27,16,14.345556,51.751389,?
2008/2009,Germany 1. Bundesliga,FC Schalke 04,14,8,12,47,35,50,12,8,7.067588888,51.55450278,
2008/2009,Germany 1. Bundesliga,Hamburger SV,19,4,11,49,47,61,2,5,9.898611,53.586944,
2008/2009,Germany 1. Bundesliga,Hannover 96,10,10,14,49,69,40,-20,11,9.731111,52.36,
2008/2009,Germany 1. Bundesliga,Hertha BSC Berlin,19,6,9,48,41,63,7,4,13.23944444,52.51472222,
2008/2009,Germany 1. Bundesliga,Karlsruher SC,8,5,21,30,54,29,-24,17,8.413055555,49.02,
2008/2009,Germany 1. Bundesliga,SV Werder Bremen,12,9,13,64,50,45,14,10,8.8375,53.066389,
2008/2009,Germany 1. Bundesliga,TSG 1899 Hoffenheim,15,10,9,63,49,55,14,7,8.84212,49.2783,
2008/2009,Germany 1. Bundesliga,VfB Stuttgart,19,7,8,63,43,64,20,3,9.231944,48.792222,
2008/2009,Germany 1. Bundesliga,VfL Bochum,7,11,16,39,55,32,-16,14,7.236489,51.489944,
2008/2009,Germany 1. Bundesliga,VfL Wolfsburg,21,6,7,80,41,69,39,1,10.807511,52.434577,
2008/2009,Italy Serie A,Atalanta,13,8,17,45,48,47,-3,11,9.680833,45.708889,
2008/2009,Italy Serie A,Bologna,9,10,19,43,62,37,-19,17,11.309719,44.49362,
2008/2009,Italy Serie A,Cagliari,15,8,15,49,50,53,-1,9,9.137583333,39.19988889,
2008/2009,Italy Serie A,Catania,12,7,19,41,51,43,-10,15,15.071389,37.515833,
2008/2009,Italy Serie A,Chievo Verona,8,14,16,35,49,38,-14,16,10.968647,45.435356,
2008/2009,Italy Serie A,Fiorentina,21,5,12,53,38,68,15,5,11.282258,43.780822,
2008/2009,Italy Serie A,Genoa,19,11,8,56,39,68,17,4,8.952428,44.416431,
2008/2009,Italy Serie A,Inter,25,9,4,70,32,84,38,1,9.124,45.47808,
2008/2009,Italy Serie A,Juventus,21,11,6,69,37,74,32,3,-88.57027778,18.08305556,
2008/2009,Italy Serie A,Lazio,15,5,18,46,55,50,-9,10,12.454714,41.933872,
2008/2009,Italy Serie A,Lecce,5,15,18,37,67,30,-30,20,18.208889,40.365278,
2008/2009,Italy Serie A,Milan,22,8,8,70,35,74,35,2,14.30720933,41.08379544,
2008/2009,Italy Serie A,Napoli,12,10,16,43,45,46,-2,12,14.26338465,40.88798394,
2008/2009,Italy Serie A,Palermo,17,6,15,57,50,57,7,8,13.342275,38.152767,
2008/2009,Italy Serie A,Reggio Calabria,6,13,19,30,62,31,-32,19,15.64141139,38.07827036,
2008/2009,Italy Serie A,Roma,18,9,11,64,61,63,3,6,12.454714,41.933872,
2008/2009,Italy Serie A,Sampdoria,11,13,14,49,52,46,-3,13,8.952428,44.416431,
2008/2009,Italy Serie A,Siena,12,8,18,33,44,44,-11,14,11.326111,43.321667,
2008/2009,Italy Serie A,Torino,8,10,20,37,61,34,-24,18,7.65,45.041667,
2008/2009,Italy Serie A,Udinese,16,10,12,61,50,58,11,7,13.200136,46.081603,
2008/2009,Netherlands Eredivisie,ADO Den Haag,8,8,18,41,58,32,-17,14,4.383056,52.062778,
2008/2009,Netherlands Eredivisie,AZ,25,5,4,66,22,80,44,1,4.741630263,52.61271589,
2008/2009,Netherlands Eredivisie,Ajax,21,5,8,74,41,68,33,3,4.940442856,52.31420074,
2008/2009,Netherlands Eredivisie,De Graafschap,7,9,18,24,58,30,-34,17,6.309722,51.955833,
2008/2009,Netherlands Eredivisie,FC Groningen,17,5,12,53,36,56,17,6,6.591388888,53.20611111,
2008/2009,Netherlands Eredivisie,FC Twente,20,9,5,62,31,69,31,2,6.8375,52.23666667,
2008/2009,Netherlands Eredivisie,FC Utrecht,11,11,12,41,44,44,-3,9,5.145833333,52.07833333,
2008/2009,Netherlands Eredivisie,FC Volendam,7,8,19,38,67,29,-29,18,5.066389,52.494444,
2008/2009,Netherlands Eredivisie,Feyenoord,12,9,13,54,46,45,8,7,4.523252777,51.89389444,
2008/2009,Netherlands Eredivisie,Heracles Almelo,7,11,16,35,53,32,-18,15,6.649722,52.338611,
2008/2009,Netherlands Eredivisie,N.E.C.,9,15,10,41,40,42,1,11,5.836667,51.8225,
2008/2009,Netherlands Eredivisie,NAC Breda,13,6,15,44,54,45,-10,8,4.75028,51.5956,
2008/2009,Netherlands Eredivisie,PSV,19,8,7,71,33,65,38,4,5.4674,51.4417,
2008/2009,Netherlands Eredivisie,Roda JC Kerkrade,7,9,18,38,58,30,-20,16,6.005833333,50.85694444,
2008/2009,Netherlands Eredivisie,SC Heerenveen,17,9,8,66,57,60,9,5,5.936111,52.958611,
2008/2009,Netherlands Eredivisie,Sparta Rotterdam,9,8,17,46,66,35,-20,13,4.433333,51.919444,
2008/2009,Netherlands Eredivisie,Vitesse,11,10,13,41,48,43,-7,10,5.893056,51.9625,
2008/2009,Netherlands Eredivisie,Willem II,10,7,17,35,58,37,-23,12,5.066944,51.542778,
2008/2009,Poland Ekstraklasa,Arka Gdynia,7,9,14,27,39,30,-12,14,18.531214,54.493136,
2008/2009,Poland Ekstraklasa,Cracovia,7,9,14,24,40,30,-16,15,19.919722,50.058056,
2008/2009,Poland Ekstraklasa,GKS Bełchatów,17,3,10,40,28,54,12,6,19.381692,51.365839,
2008/2009,Poland Ekstraklasa,Jagiellonia Białystok,9,7,14,28,34,34,-6,9,23.148889,53.105556,
2008/2009,Poland Ekstraklasa,Lech Poznań,16,11,3,51,24,59,27,4,16.858056,52.397222,
2008/2009,Poland Ekstraklasa,Lechia Gdańsk,9,5,16,30,44,32,-14,12,18.640278,54.39,
2008/2009,Poland Ekstraklasa,Legia Warszawa,18,7,5,52,17,61,35,3,21.04099453,52.22149029,
2008/2009,Poland Ekstraklasa,Odra Wodzisław,8,8,14,23,40,32,-17,13,18.45694444,49.99833333,
2008/2009,Poland Ekstraklasa,P. Warszawa,15,9,6,40,23,54,17,5,21.07967436,52.23167219,
2008/2009,Poland Ekstraklasa,Piast Gliwice,9,6,15,17,26,33,-9,11,18.695866,50.306583,
2008/2009,Poland Ekstraklasa,Polonia Bytom,17,13,30,50,79,64,-29,2,18.89871667,50.35755833,
2008/2009,Poland Ekstraklasa,Ruch Chorzów,9,7,14,22,32,34,-10,10,18.944178,50.282203,
2008/2009,Poland Ekstraklasa,Widzew Łódź,10,5,15,27,43,35,-16,8,19.511667,51.765,
2008/2009,Poland Ekstraklasa,Wisła Kraków,19,7,4,53,21,64,32,1,19.911944,50.063611,
2008/2009,Poland Ekstraklasa,Śląsk Wrocław,11,12,7,40,34,45,6,7,16.944094,51.141797,
2008/2009,Portugal Liga ZON Sagres,Académica de Coimbra,10,9,11,28,32,39,-4,7,-8.407777777,40.20333333,
2008/2009,Portugal Liga ZON Sagres,Amadora,8,10,12,26,38,34,-12,11,-9.227967,38.752036,
2008/2009,Portugal Liga ZON Sagres,CD Nacional,15,7,8,47,32,52,15,4,-16.883525,32.670625,
2008/2009,Portugal Liga ZON Sagres,CF Os Belenenses,5,9,16,28,52,24,-24,15,-9.207778,38.702778,
2008/2009,Portugal Liga ZON Sagres,CS Marítimo,9,10,11,35,36,37,-1,9,-16.928331,32.645561,
2008/2009,Portugal Liga ZON Sagres,FC Paços de Ferreira,9,7,14,37,42,34,-5,10,-8.385581,41.271353,
2008/2009,Portugal Liga ZON Sagres,FC Porto,21,7,2,61,18,70,43,1,-8.544874,41.066863,
2008/2009,Portugal Liga ZON Sagres,Leixões SC,12,9,9,30,31,45,-1,6,-8.66694444,41.18388889,
2008/2009,Portugal Liga ZON Sagres,Naval 1° de Maio,7,8,15,25,39,29,-14,13,-8.859281665,40.16283021,
2008/2009,Portugal Liga ZON Sagres,Rio Ave FC,8,6,16,20,35,30,-15,12,-8.740186,41.362756,
2008/2009,Portugal Liga ZON Sagres,SC Braga,13,11,6,38,21,50,17,5,-8.4308,41.5624,
2008/2009,Portugal Liga ZON Sagres,SL Benfica,17,8,5,54,32,59,22,3,-9.184680555,38.75267778,
2008/2009,Portugal Liga ZON Sagres,Sporting CP,20,6,4,45,20,66,25,2,-9.160783333,38.76119444,
2008/2009,Portugal Liga ZON Sagres,Trofense,5,8,17,25,42,23,-17,16,-8.564367,41.332833,
2008/2009,Portugal Liga ZON Sagres,Vitória Guimarães,10,8,12,32,36,38,-4,8,-8.300066156,41.44587634,
2008/2009,Portugal Liga ZON Sagres,Vitória Setúbal,7,5,18,21,46,26,-25,14,-8.88978488,38.53144068,
2008/2009,Scotland Premier League,Aberdeen,14,11,13,41,40,53,1,4,-2.088888888,57.15916667,
2008/2009,Scotland Premier League,Celtic,24,10,4,80,33,82,47,2,-23.512222,14.916111,
2008/2009,Scotland Premier League,Dundee United,13,14,11,47,50,53,-3,5,-2.968961,56.474703,
2008/2009,Scotland Premier League,Falkirk,9,11,18,37,52,38,-15,10,-3.754269,56.005136,
2008/2009,Scotland Premier League,Hamilton Academical FC,12,5,21,30,53,41,-23,9,-4.0585,55.7822,
2008/2009,Scotland Premier League,Heart of Midlothian,16,11,11,40,37,59,3,3,-3.232222,55.939167,
2008/2009,Scotland Premier League,Hibernian,11,14,13,42,46,47,-4,7,-3.165555555,55.96166667,
2008/2009,Scotland Premier League,Inverness Caledonian Thistle,10,7,21,37,58,37,-21,12,-4.2175,57.494722,
2008/2009,Scotland Premier League,Kilmarnock,12,8,18,38,48,44,-10,8,-4.508122,55.604225,
2008/2009,Scotland Premier League,Motherwell,13,9,16,46,51,48,-5,6,-3.980078,55.779947,
2008/2009,Scotland Premier League,Rangers,26,8,4,77,28,86,49,1,28.0516,-26.2346,
2008/2009,Scotland Premier League,St. Mirren,9,10,19,33,52,37,-19,11,-4.443889,55.850556,
2008/2009,Spain LIGA BBVA,Athletic Club de Bilbao,12,8,18,47,62,44,-15,13,-2.949369,43.264205,
2008/2009,Spain LIGA BBVA,Atlético Madrid,20,7,11,80,57,67,23,4,-3.599444,40.436111,
2008/2009,Spain LIGA BBVA,CA Osasuna,10,13,15,41,47,43,-6,14,-9.192602072,38.76679118,
2008/2009,Spain LIGA BBVA,CD Numancia,10,5,23,38,69,35,-31,19,-2.50555563,41.78194427,
2008/2009,Spain LIGA BBVA,FC Barcelona,27,6,5,105,35,87,70,1,2.12005,41.380081,
2008/2009,Spain LIGA BBVA,Getafe CF,10,12,16,50,56,42,-6,17,-3.714722,40.325556,
2008/2009,Spain LIGA BBVA,Málaga CF,15,10,13,55,59,55,-4,8,-4.427226608,36.73438436,
2008/2009,Spain LIGA BBVA,RC Deportivo de La Coruña,16,10,12,48,47,58,1,7,-8.417372,43.368667,
2008/2009,Spain LIGA BBVA,RC Recreativo,8,9,21,34,57,33,-23,20,-6.953069612,37.23314743,
2008/2009,Spain LIGA BBVA,RCD Espanyol,12,11,15,46,49,47,-3,10,2.075667,41.347861,
2008/2009,Spain LIGA BBVA,RCD Mallorca,14,9,15,53,60,51,-7,9,2.63,39.59,
2008/2009,Spain LIGA BBVA,Racing Santander,12,10,16,49,48,46,1,11,-3.846193141,43.46180928,
2008/2009,Spain LIGA BBVA,Real Betis Balompié,10,12,16,51,58,42,-7,18,-5.981611,37.356403,
2008/2009,Spain LIGA BBVA,Real Madrid CF,25,3,10,83,52,78,31,2,-3.68835,40.45306,
2008/2009,Spain LIGA BBVA,Real Sporting de Gijón,14,1,23,47,79,43,-32,16,-5.68056,43.4981,
2008/2009,Spain LIGA BBVA,Real Valladolid,12,7,19,46,58,43,-12,15,-4.761111,41.644444,
2008/2009,Spain LIGA BBVA,Sevilla FC,21,7,10,54,39,70,15,3,-5.970467,37.383878,
2008/2009,Spain LIGA BBVA,UD Almería,13,7,18,45,61,46,-16,12,-2.44529,36.862,
2008/2009,Spain LIGA BBVA,Valencia CF,18,8,12,68,54,62,14,6,-0.358333,39.474722,
2008/2009,Spain LIGA BBVA,Villarreal CF,18,11,9,61,54,65,7,5,-0.11501,39.94046,
2008/2009,Switzerland Super League,AC Bellinzona,11,10,15,44,51,43,-7,6,9.022304,46.198082,
2008/2009,Switzerland Super League,BSC Young Boys,22,7,7,85,46,73,39,2,7.465,46.962778,
2008/2009,Switzerland Super League,FC Aarau,11,11,14,35,51,44,-16,5,8.06,47.383333,
2008/2009,Switzerland Super League,FC Basel,22,6,8,72,44,72,28,3,7.62,47.541389,
2008/2009,Switzerland Super League,FC Luzern,9,8,19,45,62,35,-17,9,8.305187,47.033264,
2008/2009,Switzerland Super League,FC Sion,9,10,17,44,60,37,-16,8,7.376389,46.233333,
2008/2009,Switzerland Super League,FC Vaduz,5,7,24,28,85,22,-57,10,9.510277777,47.14027778,
2008/2009,Switzerland Super League,FC Zürich,24,7,5,80,36,79,44,1,8.503801,47.382791,
2008/2009,Switzerland Super League,Grasshopper Club Zürich,12,14,10,57,48,50,9,4,8.503801,47.382791,
2008/2009,Switzerland Super League,Neuchâtel Xamax,10,10,16,50,57,40,-7,7,6.944,46.9952,
2009/2010,Belgium Jupiler League,Beerschot AC,9,8,11,30,43,35,-13,10,4.382222,51.185,
2009/2010,Belgium Jupiler League,Club Brugge KV,17,6,5,52,33,57,19,2,3.181311,51.193269,
2009/2010,Belgium Jupiler League,KAA Gent,14,7,7,49,30,49,19,3,3.766111,51.031389,
2009/2010,Belgium Jupiler League,KRC Genk,8,10,10,33,31,34,2,11,5.533333,51.005,
2009/2010,Belgium Jupiler League,KSV Cercle Brugge,11,5,12,45,40,38,5,9,3.179748427,51.1930059,
2009/2010,Belgium Jupiler League,KSV Roeselare,4,6,18,29,58,18,-29,14,3.10527778,50.95194444,
2009/2010,Belgium Jupiler League,KV Kortrijk,12,9,7,39,30,45,9,4,3.248889,50.830278,
2009/2010,Belgium Jupiler League,KV Mechelen,12,3,13,36,46,39,-10,8,4.486389,51.037222,
2009/2010,Belgium Jupiler League,KVC Westerlo,8,8,12,28,34,32,-6,12,4.928333,51.094722,
2009/2010,Belgium Jupiler League,RSC Anderlecht,22,3,3,62,20,69,42,1,4.298333,50.834167,
2009/2010,Belgium Jupiler League,SV Zulte-Waregem,10,11,7,39,32,41,7,6,3.428889,50.883056,
2009/2010,Belgium Jupiler League,Sint-Truidense VV,12,6,10,35,35,42,0,5,5.165278,50.813611,
2009/2010,Belgium Jupiler League,Sporting Charleroi,5,8,15,28,45,23,-17,13,4.452710141,50.41485542,
2009/2010,Belgium Jupiler League,Sporting Lokeren,5,3,20,22,54,18,-32,15,3.985900182,51.11556272,
2009/2010,Belgium Jupiler League,Standard de Liège,10,9,9,38,34,39,4,7,5.544487505,50.60999871,
2009/2010,England Premier League,Arsenal,23,6,9,83,41,75,42,3,27.501339,-29.310975,
2009/2010,England Premier League,Aston Villa,17,13,8,52,39,64,13,6,-1.884722222,52.50916667,
2009/2010,England Premier League,Birmingham City,13,11,14,38,47,50,-9,9,-1.868188888,52.47570278,
2009/2010,England Premier League,Blackburn Rovers,13,11,14,41,55,50,-14,10,-2.489166666,53.72861111,
2009/2010,England Premier League,Bolton Wanderers,10,9,19,42,67,39,-25,14,-2.535555555,53.58055556,
2009/2010,England Premier League,Burnley,8,6,24,42,82,30,-40,18,-2.230225,53.789064,
2009/2010,England Premier League,Chelsea,27,5,6,103,32,86,71,1,-0.191111111,51.48166667,
2009/2010,England Premier League,Everton,16,13,9,60,49,61,11,8,-2.966388888,53.43888889,
2009/2010,England Premier League,Fulham,12,10,16,39,46,46,-7,12,-0.221666666,51.475,
2009/2010,England Premier League,Hull City,6,12,20,34,75,30,-41,19,-0.367777777,53.74611111,
2009/2010,England Premier League,Liverpool,18,9,11,61,35,63,26,7,-2.960833333,53.43083333,
2009/2010,England Premier League,Manchester City,18,13,7,73,45,67,28,5,-2.200277777,53.48305556,
