season,League_name,team_long_name_x,W,D,L,GF,GA,Pts,GD,rank,coordinates_x,coordinates_y,team_figure_url
2008/2009,Belgium Jupiler League,Beerschot AC,11,9,14,44,42,42,2,13,4.382222,51.185,https://upload.wikimedia.org/wikipedia/en/e/ee/Beerschot_AC.png
2008/2009,Belgium Jupiler League,Club Brugge KV,18,5,11,59,50,59,9,4,3.181311,51.193269,https://upload.wikimedia.org/wikipedia/en/d/d0/Club_Brugge_KV_logo.svg
2008/2009,Belgium Jupiler League,FCV Dender EH,9,8,17,44,58,35,-14,15,4.072645755,50.88402797,https://upload.wikimedia.org/wikipedia/en/9/98/FCVDenderEH.png
2008/2009,Belgium Jupiler League,KAA Gent,17,8,9,67,42,59,25,3,3.766111,51.031389,https://upload.wikimedia.org/wikipedia/en/f/f4/KAA_Gent_logo.svg
2008/2009,Belgium Jupiler League,KRC Genk,15,5,14,48,51,50,-3,8,5.533333,51.005,https://upload.wikimedia.org/wikipedia/commons/f/f6/KRC_Genk_Logo_2016.svg
2008/2009,Belgium Jupiler League,KSV Cercle Brugge,14,5,15,48,53,47,-5,9,3.179748427,51.1930059,https://upload.wikimedia.org/wikipedia/en/7/7c/Cercle_Brugge_KSV_logo.svg
2008/2009,Belgium Jupiler League,KSV Roeselare,8,6,20,33,59,30,-26,16,3.10527778,50.95194444,https://upload.wikimedia.org/wikipedia/en/f/f2/KSV_Roeselare_Logo.png
2008/2009,Belgium Jupiler League,KV Kortrijk,9,11,14,37,55,38,-18,14,3.248889,50.830278,https://upload.wikimedia.org/wikipedia/en/1/17/KV_Kortrijk_logo_2016.svg
2008/2009,Belgium Jupiler League,KV Mechelen,12,10,12,46,52,46,-6,10,4.486389,51.037222,https://upload.wikimedia.org/wikipedia/en/2/28/KV_Mechelen_logo.svg
2008/2009,Belgium Jupiler League,KVC Westerlo,15,7,12,42,38,52,4,6,4.928333,51.094722,https://upload.wikimedia.org/wikipedia/en/1/17/K.V.C._Westerlo_logo.png
2008/2009,Belgium Jupiler League,RAEC Mons,3,10,21,31,57,19,-26,18,3.963822,50.461957,https://upload.wikimedia.org/wikipedia/en/3/31/RAECMons.png
2008/2009,Belgium Jupiler League,RSC Anderlecht,24,5,5,75,30,77,45,1,4.298333,50.834167,https://upload.wikimedia.org/wikipedia/en/7/71/RSC_Anderlecht_logo.svg
2008/2009,Belgium Jupiler League,Royal Excel Mouscron,12,8,14,42,49,44,-7,11,3.211082,50.733953,https://upload.wikimedia.org/wikipedia/en/4/4e/Royal_Excel_Mouscron_logo.png
2008/2009,Belgium Jupiler League,SV Zulte-Waregem,16,7,11,55,36,55,19,5,3.428889,50.883056,https://upload.wikimedia.org/wikipedia/en/6/67/Zulte-Waregem_logo.svg
2008/2009,Belgium Jupiler League,Sporting Charleroi,12,7,15,43,48,43,-5,12,4.452710141,50.41485542,https://upload.wikimedia.org/wikipedia/commons/9/9a/Kit_shorts_charleroi2021a.png
2008/2009,Belgium Jupiler League,Sporting Lokeren,13,12,9,40,32,51,8,7,3.985900182,51.11556272,https://upload.wikimedia.org/wikipedia/en/c/c9/K.S.C._Lokeren_Oost-Vlaanderen_logo.svg
2008/2009,Belgium Jupiler League,Standard de Liège,24,5,5,66,26,77,40,2,5.544487505,50.60999871,https://upload.wikimedia.org/wikipedia/commons/5/56/Standard_liege_flag.jpg
2008/2009,Belgium Jupiler League,Tubize,7,6,21,35,77,27,-42,17,4.200436,50.683795,https://upload.wikimedia.org/wikipedia/commons/7/74/TubizeTownHall.jpg
2008/2009,England Premier League,Arsenal,20,12,6,68,37,72,31,4,27.501339,-29.310975,https://upload.wikimedia.org/wikipedia/commons/5/5a/Russia-Moscow-Arsenal.jpg
2008/2009,England Premier League,Aston Villa,17,11,10,54,48,62,6,6,-1.884722222,52.50916667,https://upload.wikimedia.org/wikipedia/commons/6/6f/Aston_Villa_FC.ogg
2008/2009,England Premier League,Blackburn Rovers,10,11,17,40,60,41,-20,15,-2.489166666,53.72861111,https://upload.wikimedia.org/wikipedia/en/0/0f/Blackburn_Rovers.svg
2008/2009,England Premier League,Bolton Wanderers,11,8,19,41,53,41,-12,13,-2.535555555,53.58055556,https://upload.wikimedia.org/wikipedia/en/8/82/Bolton_Wanderers_FC_logo.svg
2008/2009,England Premier League,Chelsea,25,8,5,68,24,83,44,3,-0.191111111,51.48166667,
2008/2009,England Premier League,Everton,17,12,9,55,37,63,18,5,-2.966388888,53.43888889,
2008/2009,England Premier League,Fulham,14,11,13,39,34,53,5,7,-0.221666666,51.475,https://upload.wikimedia.org/wikipedia/commons/c/c5/Fulham_Baths_01.JPG
2008/2009,England Premier League,Hull City,8,11,19,39,64,35,-25,17,-0.367777777,53.74611111,https://upload.wikimedia.org/wikipedia/en/5/54/Hull_City_A.F.C._logo.svg
2008/2009,England Premier League,Liverpool,25,11,2,77,27,86,50,2,-2.960833333,53.43083333,https://upload.wikimedia.org/wikipedia/commons/6/60/Liverpool_Bay.png
2008/2009,England Premier League,Manchester City,15,5,18,58,50,50,8,10,-2.200277777,53.48305556,https://upload.wikimedia.org/wikipedia/commons/d/d4/Manchester_City_FC.ogg
2008/2009,England Premier League,Manchester United,28,6,4,68,24,90,44,1,-2.291388888,53.46305556,https://upload.wikimedia.org/wikipedia/en/7/7a/Manchester_United_FC_crest.svg
2008/2009,England Premier League,Middlesbrough,7,11,20,28,57,32,-29,19,-1.216944444,54.57833333,https://upload.wikimedia.org/wikipedia/commons/8/87/En-uk-Middlesbrough.ogg
2008/2009,England Premier League,Newcastle United,7,13,18,40,59,34,-19,18,-1.621666666,54.97555556,https://upload.wikimedia.org/wikipedia/commons/e/e5/Newcastle_United_F.C._1960.jpg
2008/2009,England Premier League,Portsmouth,10,11,17,38,57,41,-19,14,-1.063888888,50.79638889,https://upload.wikimedia.org/wikipedia/commons/8/8a/Old_Portsmouth.jpg
2008/2009,England Premier League,Stoke City,12,9,17,38,55,45,-17,12,-2.175555555,52.98833333,https://upload.wikimedia.org/wikipedia/en/2/29/Stoke_City_FC.svg
2008/2009,England Premier League,Sunderland,9,9,20,34,54,36,-20,16,-1.3882,54.9144,https://upload.wikimedia.org/wikipedia/commons/c/ce/En-uk-Sunderland.ogg
2008/2009,England Premier League,Tottenham Hotspur,14,9,15,45,45,51,0,8,-0.066388888,51.60444444,https://upload.wikimedia.org/wikipedia/en/b/b4/Tottenham_Hotspur.svg
2008/2009,England Premier League,West Bromwich Albion,8,8,22,36,67,32,-31,20,-1.963888888,52.50916667,https://upload.wikimedia.org/wikipedia/en/8/8b/West_Bromwich_Albion.svg
2008/2009,England Premier League,West Ham United,14,9,15,42,45,51,-3,9,-0.016388888,51.53861111,https://upload.wikimedia.org/wikipedia/en/e/e0/West_Ham_United_FC.svg
2008/2009,England Premier League,Wigan Athletic,12,9,17,34,45,45,-11,11,-2.653889,53.547778,https://upload.wikimedia.org/wikipedia/en/4/43/Wigan_Athletic.svg
2008/2009,France Ligue 1,AJ Auxerre,16,7,15,35,35,55,0,8,3.588664,47.786753,https://upload.wikimedia.org/wikipedia/en/5/5b/AJ_Auxerre.svg
2008/2009,France Ligue 1,AS Monaco,11,12,15,41,45,45,-4,11,7.415556,43.727778,https://upload.wikimedia.org/wikipedia/en/b/ba/AS_Monaco_FC.svg
2008/2009,France Ligue 1,AS Nancy-Lorraine,10,12,16,38,47,42,-9,15,6.210687,48.6955,https://upload.wikimedia.org/wikipedia/en/4/4d/AS_Nancy_logo.svg
2008/2009,France Ligue 1,AS Saint-Étienne,11,7,20,40,56,40,-16,17,4.39,45.460833,https://upload.wikimedia.org/wikipedia/commons/2/2c/Logo_AS_Saint-%C3%89tienne.svg
2008/2009,France Ligue 1,FC Lorient,10,15,13,47,47,45,0,10,-3.369733,47.748256,https://upload.wikimedia.org/wikipedia/en/4/4c/FC_Lorient_logo.svg
2008/2009,France Ligue 1,FC Nantes,9,10,19,33,54,37,-21,19,-1.525278,47.255556,https://upload.wikimedia.org/wikipedia/commons/d/d2/Fr-Nantes.ogg
2008/2009,France Ligue 1,FC Sochaux-Montbéliard,10,12,16,40,48,42,-8,14,6.811094,47.512403,https://upload.wikimedia.org/wikipedia/en/7/7c/FC_Sochaux-Montbeliard_logo.svg
2008/2009,France Ligue 1,Girondins de Bordeaux,24,8,6,64,34,80,30,1,-0.563333,44.896944,https://upload.wikimedia.org/wikipedia/en/a/a1/FC_Girondins_de_Bordeaux_%282020%29_logo.svg
2008/2009,France Ligue 1,Grenoble Foot 38,10,14,14,24,37,44,-13,13,5.740099,45.187428,https://upload.wikimedia.org/wikipedia/en/d/de/Grenoble_Foot_38_logo.svg
2008/2009,France Ligue 1,LOSC Lille,17,13,8,51,39,64,12,5,3.067614316,50.63678193,https://upload.wikimedia.org/wikipedia/en/3/3f/Lille_OSC_2018_logo.svg
2008/2009,France Ligue 1,Le Havre AC,7,5,26,30,67,26,-37,20,0.169722222,49.49888889,https://upload.wikimedia.org/wikipedia/en/f/fc/Le_Havre_AC_logo.svg
2008/2009,France Ligue 1,Le Mans FC,10,10,18,43,54,40,-11,16,0.232562988,47.93773248,https://upload.wikimedia.org/wikipedia/en/5/57/Le_Mans_FC_logo.svg
2008/2009,France Ligue 1,OGC Nice,13,11,14,40,41,50,-1,9,7.192583333,43.70513889,https://upload.wikimedia.org/wikipedia/en/2/2e/OGC_Nice_logo.svg
2008/2009,France Ligue 1,Olympique Lyonnais,20,11,7,52,29,71,23,3,4.982131,45.765224,https://upload.wikimedia.org/wikipedia/en/c/c6/Olympique_Lyonnais.svg
2008/2009,France Ligue 1,Olympique de Marseille,22,11,5,67,35,77,32,2,5.395833333,43.26972222,https://upload.wikimedia.org/wikipedia/commons/b/ba/Olympique_de_Marseille_2011.jpeg
2008/2009,France Ligue 1,Paris Saint-Germain,19,7,12,49,38,64,11,6,2.253055555,48.84138889,https://upload.wikimedia.org/wikipedia/en/a/a7/Paris_Saint-Germain_F.C..svg
2008/2009,France Ligue 1,SM Caen,8,13,17,42,49,37,-7,18,-0.395893731,49.17966417,https://upload.wikimedia.org/wikipedia/commons/6/64/SM_Caen.svg
2008/2009,France Ligue 1,Stade Rennais FC,15,16,7,42,34,61,8,7,-1.712861111,48.10747222,https://upload.wikimedia.org/wikipedia/en/9/9e/Stade_Rennais_FC.svg
2008/2009,France Ligue 1,Toulouse FC,16,16,6,45,27,64,18,4,1.434055,43.583296,https://upload.wikimedia.org/wikipedia/commons/6/69/Toulousef%C3%AAteTFC.JPG
2008/2009,France Ligue 1,Valenciennes FC,10,14,14,35,42,44,-7,12,3.529336,50.348486,https://upload.wikimedia.org/wikipedia/en/8/8c/Valenciennes_FC.svg
2008/2009,Germany 1. Bundesliga,1. FC Köln,11,6,17,35,50,39,-15,12,6.875,50.933611,https://upload.wikimedia.org/wikipedia/en/5/53/FC_Cologne_logo.svg
2008/2009,Germany 1. Bundesliga,Bayer 04 Leverkusen,14,7,13,59,46,49,13,9,7.002205555,51.03825556,https://upload.wikimedia.org/wikipedia/en/5/59/Bayer_04_Leverkusen_logo.svg
2008/2009,Germany 1. Bundesliga,Borussia Dortmund,15,14,5,60,37,59,23,6,7.451667,51.4925,https://upload.wikimedia.org/wikipedia/commons/6/67/Borussia_Dortmund_logo.svg
2008/2009,Germany 1. Bundesliga,Borussia Mönchengladbach,8,7,19,39,62,31,-23,15,6.385463888,51.17458333,https://upload.wikimedia.org/wikipedia/commons/8/81/Borussia_M%C3%B6nchengladbach_logo.svg
2008/2009,Germany 1. Bundesliga,DSC Arminia Bielefeld,4,16,14,29,56,28,-27,18,8.516944,52.031389,https://upload.wikimedia.org/wikipedia/en/9/9b/Arminia_Bielefeld_logo.svg
