season,League_name,team_long_name_x,W,D,L,GF,GA,Pts,GD
2008/2009,Belgium Jupiler League,Beerschot AC,11,9,14,44,42,42,2
2008/2009,Belgium Jupiler League,Club Brugge KV,18,5,11,59,50,59,9
2008/2009,Belgium Jupiler League,FCV Dender EH,9,8,17,44,58,35,-14
2008/2009,Belgium Jupiler League,KAA Gent,17,8,9,67,42,59,25
2008/2009,Belgium Jupiler League,KRC Genk,15,5,14,48,51,50,-3
2008/2009,Belgium Jupiler League,KSV Cercle Brugge,14,5,15,48,53,47,-5
2008/2009,Belgium Jupiler League,KSV Roeselare,8,6,20,33,59,30,-26
2008/2009,Belgium Jupiler League,KV Kortrijk,9,11,14,37,55,38,-18
2008/2009,Belgium Jupiler League,KV Mechelen,12,10,12,46,52,46,-6
2008/2009,Belgium Jupiler League,KVC Westerlo,15,7,12,42,38,52,4
2008/2009,Belgium Jupiler League,RAEC Mons,3,10,21,31,57,19,-26
2008/2009,Belgium Jupiler League,RSC Anderlecht,24,5,5,75,30,77,45
2008/2009,Belgium Jupiler League,Royal Excel Mouscron,12,8,14,42,49,44,-7
2008/2009,Belgium Jupiler League,SV Zulte-Waregem,16,7,11,55,36,55,19
2008/2009,Belgium Jupiler League,Sporting Charleroi,12,7,15,43,48,43,-5
2008/2009,Belgium Jupiler League,Sporting Lokeren,13,12,9,40,32,51,8
2008/2009,Belgium Jupiler League,Standard de Liège,24,5,5,66,26,77,40
2008/2009,Belgium Jupiler League,Tubize,7,6,21,35,77,27,-42
2008/2009,England Premier League,Arsenal,20,12,6,68,37,72,31
2008/2009,England Premier League,Aston Villa,17,11,10,54,48,62,6
2008/2009,England Premier League,Blackburn Rovers,10,11,17,40,60,41,-20
2008/2009,England Premier League,Bolton Wanderers,11,8,19,41,53,41,-12
2008/2009,England Premier League,Chelsea,25,8,5,68,24,83,44
2008/2009,England Premier League,Everton,17,12,9,55,37,63,18
2008/2009,England Premier League,Fulham,14,11,13,39,34,53,5
2008/2009,England Premier League,Hull City,8,11,19,39,64,35,-25
2008/2009,England Premier League,Liverpool,25,11,2,77,27,86,50
2008/2009,England Premier League,Manchester City,15,5,18,58,50,50,8
2008/2009,England Premier League,Manchester United,28,6,4,68,24,90,44
2008/2009,England Premier League,Middlesbrough,7,11,20,28,57,32,-29
2008/2009,England Premier League,Newcastle United,7,13,18,40,59,34,-19
2008/2009,England Premier League,Portsmouth,10,11,17,38,57,41,-19
2008/2009,England Premier League,Stoke City,12,9,17,38,55,45,-17
2008/2009,England Premier League,Sunderland,9,9,20,34,54,36,-20
2008/2009,England Premier League,Tottenham Hotspur,14,9,15,45,45,51,0
2008/2009,England Premier League,West Bromwich Albion,8,8,22,36,67,32,-31
2008/2009,England Premier League,West Ham United,14,9,15,42,45,51,-3
2008/2009,England Premier League,Wigan Athletic,12,9,17,34,45,45,-11
2008/2009,France Ligue 1,AJ Auxerre,16,7,15,35,35,55,0
2008/2009,France Ligue 1,AS Monaco,11,12,15,41,45,45,-4
2008/2009,France Ligue 1,AS Nancy-Lorraine,10,12,16,38,47,42,-9
2008/2009,France Ligue 1,AS Saint-Étienne,11,7,20,40,56,40,-16
2008/2009,France Ligue 1,FC Lorient,10,15,13,47,47,45,0
2008/2009,France Ligue 1,FC Nantes,9,10,19,33,54,37,-21
2008/2009,France Ligue 1,FC Sochaux-Montbéliard,10,12,16,40,48,42,-8
2008/2009,France Ligue 1,Girondins de Bordeaux,24,8,6,64,34,80,30
2008/2009,France Ligue 1,Grenoble Foot 38,10,14,14,24,37,44,-13
2008/2009,France Ligue 1,LOSC Lille,17,13,8,51,39,64,12
2008/2009,France Ligue 1,Le Havre AC,7,5,26,30,67,26,-37
2008/2009,France Ligue 1,Le Mans FC,10,10,18,43,54,40,-11
2008/2009,France Ligue 1,OGC Nice,13,11,14,40,41,50,-1
2008/2009,France Ligue 1,Olympique Lyonnais,20,11,7,52,29,71,23
2008/2009,France Ligue 1,Olympique de Marseille,22,11,5,67,35,77,32
2008/2009,France Ligue 1,Paris Saint-Germain,19,7,12,49,38,64,11
2008/2009,France Ligue 1,SM Caen,8,13,17,42,49,37,-7
2008/2009,France Ligue 1,Stade Rennais FC,15,16,7,42,34,61,8
2008/2009,France Ligue 1,Toulouse FC,16,16,6,45,27,64,18
2008/2009,France Ligue 1,Valenciennes FC,10,14,14,35,42,44,-7
2008/2009,Germany 1. Bundesliga,1. FC Köln,11,6,17,35,50,39,-15
2008/2009,Germany 1. Bundesliga,Bayer 04 Leverkusen,14,7,13,59,46,49,13
2008/2009,Germany 1. Bundesliga,Borussia Dortmund,15,14,5,60,37,59,23
2008/2009,Germany 1. Bundesliga,Borussia Mönchengladbach,8,7,19,39,62,31,-23
2008/2009,Germany 1. Bundesliga,DSC Arminia Bielefeld,4,16,14,29,56,28,-27
2008/2009,Germany 1. Bundesliga,Eintracht Frankfurt,8,9,17,39,60,33,-21
2008/2009,Germany 1. Bundesliga,FC Bayern Munich,20,7,7,71,42,67,29
2008/2009,Germany 1. Bundesliga,FC Energie Cottbus,8,6,20,30,57,30,-27
2008/2009,Germany 1. Bundesliga,FC Schalke 04,14,8,12,47,35,50,12
2008/2009,Germany 1. Bundesliga,Hamburger SV,19,4,11,49,47,61,2
2008/2009,Germany 1. Bundesliga,Hannover 96,10,10,14,49,69,40,-20
2008/2009,Germany 1. Bundesliga,Hertha BSC Berlin,19,6,9,48,41,63,7
2008/2009,Germany 1. Bundesliga,Karlsruher SC,8,5,21,30,54,29,-24
2008/2009,Germany 1. Bundesliga,SV Werder Bremen,12,9,13,64,50,45,14
2008/2009,Germany 1. Bundesliga,TSG 1899 Hoffenheim,15,10,9,63,49,55,14
2008/2009,Germany 1. Bundesliga,VfB Stuttgart,19,7,8,63,43,64,20
2008/2009,Germany 1. Bundesliga,VfL Bochum,7,11,16,39,55,32,-16
2008/2009,Germany 1. Bundesliga,VfL Wolfsburg,21,6,7,80,41,69,39
2008/2009,Italy Serie A,Atalanta,13,8,17,45,48,47,-3
2008/2009,Italy Serie A,Bologna,9,10,19,43,62,37,-19
2008/2009,Italy Serie A,Cagliari,15,8,15,49,50,53,-1
2008/2009,Italy Serie A,Catania,12,7,19,41,51,43,-10
2008/2009,Italy Serie A,Chievo Verona,8,14,16,35,49,38,-14
