season,League_name,team_long_name,age_mean,age_max,age_min,height_mean,height_max,height_min,weight_mean,weight_max,weight_min,right_foot,left_foot,nan_foot,best_player_name,rating,potential,speed,jumping,stamina,strength
2008/2009,Belgium Jupiler League,Beerschot AC,26.5,36.0,19.0,180.3,188.0,175.3,168.3,183.0,152.0,66.67,26.67,6.67,Ivan Leko,71.0,74.0,56.5,53.0,65.5,64.5
2008/2009,Belgium Jupiler League,Club Brugge KV,24.6,34.0,19.0,183.5,193.0,172.7,173.1,201.0,146.0,68.75,31.25,0.0,Wesley Sonck,73.0,75.0,74.0,73.0,69.0,66.0
2008/2009,Belgium Jupiler League,FCV Dender EH,24.7,34.0,21.0,181.5,188.0,172.7,169.5,187.0,143.0,63.64,36.36,0.0,Eric Deflandre,64.0,73.0,60.0,,61.0,64.0
2008/2009,Belgium Jupiler League,KAA Gent,24.9,30.0,19.0,184.3,193.0,172.7,172.6,183.0,154.0,81.25,18.75,0.0,Bryan Ruiz,71.0,76.0,77.0,76.0,65.0,62.0
2008/2009,Belgium Jupiler League,KRC Genk,22.7,26.0,18.0,182.9,190.5,170.2,167.1,198.0,134.0,64.71,35.29,0.0,Tom de Mul,70.5,76.0,78.5,67.0,68.0,47.0
2008/2009,Belgium Jupiler League,KSV Cercle Brugge,27.3,32.0,20.0,182.4,190.5,175.3,170.7,192.0,150.0,66.67,26.67,6.67,Thomas Buffel,72.0,76.0,75.0,64.0,78.0,56.0
2008/2009,Belgium Jupiler League,KSV Roeselare,24.7,36.0,19.0,181.2,188.0,172.7,167.4,187.0,150.0,80.0,20.0,0.0,"Stefaan Tanghe,18",66.0,70.0,58.0,,72.0,58.0
2008/2009,Belgium Jupiler League,KV Kortrijk,24.3,30.0,18.0,181.8,193.0,175.3,166.3,196.0,143.0,66.67,33.33,0.0,Mustapha Oussalah,66.0,69.0,68.0,64.0,68.0,59.0
2008/2009,Belgium Jupiler League,KV Mechelen,23.2,29.0,19.0,182.9,193.0,172.7,171.0,196.0,139.0,93.33,6.67,0.0,Nana Asare,66.0,72.0,76.0,68.0,67.0,42.0
2008/2009,Belgium Jupiler League,KVC Westerlo,26.2,37.0,19.0,181.9,190.5,175.3,165.8,183.0,139.0,69.23,30.77,0.0,Lukas Zelenka,70.0,72.0,71.0,,64.0,65.0
