season,League_name,team_long_name,age_mean,age_max,age_min,height_mean,height_max,height_min,weight_mean,weight_max,weight_min,right_foot,left_foot,nan_foot,best_player_name,rating,potential,speed,jumping,stamina,strength
2008/2009,Belgium Jupiler League,RAEC Mons,24.3,31.0,19.0,181.2,190.5,170.2,171.6,201.0,150.0,71.43,28.57,0.0,Mustapha Jarju Alasan,68.0,72.0,73.0,69.0,61.0,72.0
2008/2009,Belgium Jupiler League,RSC Anderlecht,23.9,32.0,18.0,182.9,193.0,167.6,171.7,207.0,134.0,77.78,22.22,0.0,Lucas Biglia,74.0,80.0,65.0,58.0,76.0,67.0
2008/2009,Belgium Jupiler League,Royal Excel Mouscron,23.0,28.0,18.0,181.6,193.0,167.6,170.5,187.0,143.0,80.0,20.0,0.0,Gonzague Vandooren,62.5,64.0,67.0,59.0,79.0,72.0
2008/2009,Belgium Jupiler League,SV Zulte-Waregem,24.1,30.0,19.0,181.3,193.0,170.2,167.0,201.0,143.0,68.75,25.0,6.25,Kevin Roelandts,67.0,69.0,61.0,60.0,58.0,71.0
2008/2009,Belgium Jupiler League,Sporting Charleroi,23.1,29.0,18.0,182.4,193.0,172.7,169.8,187.0,143.0,63.64,27.27,9.09,Abdelmajid Oulmers,68.0,69.0,70.0,,71.0,64.0
2008/2009,Belgium Jupiler League,Sporting Lokeren,24.7,35.0,18.0,181.2,188.0,167.6,169.6,185.0,137.0,91.67,8.33,0.0,Mario Carevic,68.0,66.0,33.0,55.0,60.0,78.0
2008/2009,Belgium Jupiler League,Standard de Liège,22.4,27.0,17.0,182.9,195.6,175.3,173.0,209.0,148.0,75.0,25.0,0.0,Milan Jovanovic,75.0,78.0,83.5,71.0,78.0,72.5
2008/2009,Belgium Jupiler League,Tubize,24.9,32.0,20.0,180.0,193.0,165.1,166.7,185.0,137.0,85.71,14.29,0.0,Quinton Fortune,72.0,76.0,67.0,,85.0,70.0
2008/2009,England Premier League,Arsenal,22.4,30.0,17.0,180.9,193.0,172.7,165.4,196.0,143.0,76.19,23.81,0.0,Cesc Fabregas,87.5,91.0,74.0,65.0,92.0,66.0
2008/2009,England Premier League,Aston Villa,25.5,30.0,21.0,181.9,193.0,175.3,175.6,207.0,143.0,86.67,13.33,0.0,Gareth Barry,83.5,85.0,66.0,77.0,85.5,80.5
2008/2009,England Premier League,Blackburn Rovers,26.8,37.0,19.0,182.6,193.0,175.3,179.3,220.0,159.0,72.73,27.27,0.0,Roque Santa Cruz,82.0,84.5,78.0,89.0,70.0,82.0
2008/2009,England Premier League,Bolton Wanderers,25.6,31.0,19.0,183.8,193.0,175.3,173.2,209.0,150.0,85.0,15.0,0.0,Sebastien Puygrenier,81.0,89.0,63.0,77.0,81.0,82.0
2008/2009,England Premier League,Chelsea,26.8,32.0,20.0,181.9,188.0,175.3,173.0,201.0,146.0,85.0,15.0,0.0,John Terry,87.0,90.0,66.5,91.0,81.5,93.5
2008/2009,England Premier League,Everton,24.4,33.0,16.0,181.0,193.0,170.2,166.7,196.0,141.0,77.27,22.73,0.0,Mikel Arteta,82.5,84.5,77.0,70.0,79.5,62.5
2008/2009,England Premier League,Fulham,27.8,31.0,25.0,182.4,195.6,170.2,169.5,203.0,141.0,76.47,23.53,0.0,Brede Hangeland,80.5,81.5,76.0,89.0,80.0,88.0
2008/2009,England Premier League,Hull City,27.8,39.0,21.0,182.4,195.6,170.2,173.0,198.0,148.0,76.0,24.0,0.0,"Daniel Cousin,20",76.5,82.0,80.0,,72.0,78.0
2008/2009,England Premier League,Liverpool,24.8,34.0,19.0,182.9,195.6,172.7,171.3,194.0,146.0,77.27,22.73,0.0,Steven Gerrard,88.0,90.0,84.0,68.0,93.0,83.0
2008/2009,England Premier League,Manchester City,23.9,34.0,18.0,180.5,193.0,165.1,167.7,209.0,132.0,71.43,25.0,3.57,Robinho,86.0,90.0,86.0,54.0,71.0,58.0
2008/2009,England Premier League,Manchester United,24.6,34.0,16.0,181.7,193.0,170.2,169.6,194.0,146.0,91.67,8.33,0.0,Cristiano Ronaldo,90.5,94.0,94.0,91.0,89.5,76.5
2008/2009,England Premier League,Middlesbrough,23.4,28.0,19.0,182.4,195.6,172.7,165.0,198.0,134.0,68.18,31.82,0.0,"Afonso Alves,24",82.0,88.0,84.0,,68.0,77.0
2008/2009,England Premier League,Newcastle United,25.3,33.0,19.0,181.1,190.5,170.2,172.0,209.0,154.0,72.0,24.0,4.0,Obafemi Martins,81.0,86.0,93.0,79.0,74.0,73.0
2008/2009,England Premier League,Portsmouth,26.7,33.0,18.0,183.5,200.7,170.2,173.6,194.0,148.0,79.17,20.83,0.0,Lassana Diarra,81.0,83.5,79.0,65.0,90.0,82.0
2008/2009,England Premier League,Stoke City,26.7,31.0,20.0,184.9,193.0,172.7,172.6,218.0,141.0,80.0,20.0,0.0,Dave Kitson,76.0,79.0,75.0,73.0,76.0,83.0
2008/2009,England Premier League,Sunderland,25.7,29.0,18.0,180.5,193.0,167.6,170.6,196.0,143.0,63.64,36.36,0.0,Djibril Cisse,78.5,84.0,88.0,81.0,80.0,77.0
2008/2009,England Premier League,Tottenham Hotspur,23.7,32.0,18.0,179.9,193.0,165.1,165.3,190.0,139.0,79.17,20.83,0.0,Robbie Keane,83.0,84.5,81.0,65.0,76.0,67.0
2008/2009,England Premier League,West Bromwich Albion,24.1,30.0,19.0,182.7,193.0,175.3,170.6,225.0,141.0,91.67,8.33,0.0,Abdoulaye Meite,74.0,79.0,60.0,80.0,72.0,91.0
2008/2009,England Premier League,West Ham United,25.0,32.0,18.0,181.6,193.0,170.2,165.8,198.0,141.0,76.0,20.0,4.0,Dean Ashton,81.0,83.0,75.0,,76.0,89.0
2008/2009,England Premier League,Wigan Athletic,25.9,31.0,20.0,181.0,190.5,170.2,170.5,205.0,148.0,77.27,22.73,0.0,Antonio Valencia,78.5,81.0,82.0,63.0,76.5,63.0
2008/2009,France Ligue 1,AJ Auxerre,24.1,29.0,19.0,180.9,185.4,167.6,167.3,185.0,143.0,63.16,36.84,0.0,Thomas Kahlenberg,77.0,88.0,82.0,68.0,86.0,74.0
2008/2009,France Ligue 1,AS Monaco,23.3,32.0,17.0,179.8,190.5,170.2,167.1,198.0,141.0,78.57,17.86,3.57,Jeremy Menez,80.0,85.0,86.0,70.0,68.0,58.0
2008/2009,France Ligue 1,AS Nancy-Lorraine,25.0,33.0,18.0,181.2,190.5,167.6,169.4,205.0,137.0,75.0,25.0,0.0,Abdeslam Ouaddou,77.0,79.5,72.0,,88.0,82.0
2008/2009,France Ligue 1,AS Saint-Étienne,24.4,31.0,19.0,179.4,190.5,170.2,164.4,212.0,143.0,76.19,23.81,0.0,Bafetimbi Gomis,81.0,87.0,86.0,75.0,75.0,82.0
2008/2009,France Ligue 1,FC Lorient,25.6,34.0,18.0,178.2,193.0,170.2,158.1,194.0,132.0,76.19,23.81,0.0,Marama Vahirua,74.0,76.0,89.0,52.0,69.0,57.0
2008/2009,France Ligue 1,FC Nantes,24.8,33.0,18.0,184.6,193.0,175.3,173.0,194.0,143.0,59.09,40.91,0.0,Ivan Klasnic,76.0,85.0,72.5,73.0,65.5,75.0
2008/2009,France Ligue 1,FC Sochaux-Montbéliard,24.8,33.0,18.0,179.4,185.4,170.2,166.4,194.0,134.0,76.0,24.0,0.0,Stephane Dalmat,76.0,81.0,77.0,63.0,77.0,70.0
2008/2009,France Ligue 1,Girondins de Bordeaux,24.4,33.0,18.0,181.1,190.5,172.7,170.1,194.0,143.0,84.21,15.79,0.0,Marc Planus,82.5,85.0,76.5,82.0,84.0,84.0
2008/2009,France Ligue 1,Grenoble Foot 38,26.3,35.0,18.0,180.3,193.0,170.2,166.3,196.0,143.0,82.61,17.39,0.0,David Jemmali,73.0,80.0,71.0,,69.0,76.0
2008/2009,France Ligue 1,LOSC Lille,24.5,34.0,17.0,180.9,193.0,167.6,173.9,198.0,150.0,76.19,23.81,0.0,Michel Bastos,80.0,86.0,84.0,77.0,81.0,72.0
2008/2009,France Ligue 1,Le Havre AC,24.8,31.0,18.0,181.2,188.0,167.6,169.6,192.0,141.0,75.0,25.0,0.0,Nicolas Douchez,76.5,79.5,58.0,60.0,46.0,52.0
2008/2009,France Ligue 1,Le Mans FC,22.8,31.0,20.0,181.9,195.6,170.2,168.6,212.0,143.0,55.0,45.0,0.0,Thorstein Helstad,76.0,77.0,70.0,67.0,62.0,77.0
2008/2009,France Ligue 1,OGC Nice,25.8,35.0,19.0,179.8,188.0,170.2,164.4,185.0,143.0,78.95,21.05,0.0,David Hellebuyck,75.0,85.0,83.0,71.0,85.0,73.0
2008/2009,France Ligue 1,Olympique Lyonnais,25.3,33.0,18.0,182.2,190.5,172.7,171.1,198.0,143.0,80.0,20.0,0.0,Karim Benzema,85.0,91.0,85.0,74.0,72.0,80.0
2008/2009,France Ligue 1,Olympique de Marseille,25.5,34.0,20.0,179.5,193.0,162.6,166.7,196.0,128.0,72.73,22.73,0.0,Mamadou Niang,83.0,87.0,74.0,57.0,68.0,76.0
2008/2009,France Ligue 1,Paris Saint-Germain,26.0,35.0,18.0,181.3,193.0,165.1,167.6,183.0,137.0,72.22,22.22,5.56,Jerome Rothen,81.0,72.0,83.0,40.0,80.0,71.0
2008/2009,France Ligue 1,SM Caen,26.2,31.0,22.0,178.1,190.5,162.6,161.7,185.0,146.0,83.33,16.67,0.0,Steve Savidan,79.5,83.0,77.0,,68.0,56.0
2008/2009,France Ligue 1,Stade Rennais FC,24.6,34.0,19.0,182.9,193.0,172.7,172.5,198.0,146.0,70.0,30.0,0.0,Jimmy Briand,77.5,86.0,86.0,79.0,74.0,68.0
2008/2009,France Ligue 1,Toulouse FC,23.1,28.0,18.0,182.3,193.0,172.7,171.8,198.0,143.0,63.16,36.84,0.0,Jeremy Mathieu,77.0,85.0,71.0,64.0,82.0,89.0
2008/2009,France Ligue 1,Valenciennes FC,26.8,33.0,21.0,178.4,188.0,170.2,162.0,187.0,139.0,70.0,30.0,0.0,Johan Audel,75.0,79.0,75.0,62.0,79.0,71.0
2008/2009,Germany 1. Bundesliga,1. FC Köln,25.4,31.0,18.0,183.1,193.0,165.1,170.1,201.0,141.0,76.19,23.81,0.0,Petit,78.5,82.0,66.0,63.0,87.0,78.0
2008/2009,Germany 1. Bundesliga,Bayer 04 Leverkusen,23.1,32.0,18.0,184.6,193.0,177.8,175.4,201.0,154.0,68.75,31.25,0.0,Simon Rolfes,80.5,85.0,74.0,74.0,88.0,76.0
2008/2009,Germany 1. Bundesliga,Borussia Dortmund,25.4,34.0,19.0,181.8,193.0,167.6,171.7,203.0,143.0,72.73,27.27,0.0,Alexander Frei,81.0,84.0,74.0,72.0,69.0,72.0
2008/2009,Germany 1. Bundesliga,Borussia Mönchengladbach,25.5,35.0,18.0,182.4,195.6,170.2,173.2,207.0,141.0,65.22,34.78,0.0,Marko Marin,77.0,89.0,80.0,47.0,52.0,37.5
2008/2009,Germany 1. Bundesliga,DSC Arminia Bielefeld,26.2,34.0,20.0,181.9,190.5,170.2,168.1,185.0,143.0,73.68,26.32,0.0,Artur Wichniarek,76.0,77.0,82.0,64.0,68.0,66.0
2008/2009,Germany 1. Bundesliga,Eintracht Frankfurt,24.3,32.0,19.0,182.8,195.6,172.7,174.8,212.0,152.0,75.0,20.0,5.0,Ioannis Amanatidis,77.0,82.0,88.0,75.0,70.0,70.0
2008/2009,Germany 1. Bundesliga,FC Bayern Munich,26.2,33.0,18.0,183.7,198.1,170.2,177.5,209.0,146.0,89.47,10.53,0.0,Franck Ribery,88.0,92.0,93.0,58.0,86.0,64.0
2008/2009,Germany 1. Bundesliga,FC Energie Cottbus,28.0,33.0,22.0,183.7,193.0,172.7,173.9,190.0,150.0,68.42,31.58,0.0,Jan Rajnoch,72.0,75.0,66.5,71.0,75.0,73.0
2008/2009,Germany 1. Bundesliga,FC Schalke 04,25.8,34.0,18.0,183.7,198.1,170.2,177.9,205.0,146.0,63.16,36.84,0.0,Marcelo Jose Bordon,85.0,86.5,66.0,,82.5,92.5
2008/2009,Germany 1. Bundesliga,Hamburger SV,25.5,32.0,19.0,184.0,193.0,170.2,175.9,207.0,132.0,60.0,40.0,0.0,Mladen Petric,80.5,86.0,78.0,71.0,69.0,73.0
2008/2009,Germany 1. Bundesliga,Hannover 96,27.0,38.0,18.0,181.3,190.5,165.1,170.5,198.0,139.0,72.73,27.27,0.0,Mario Eggimann,77.5,82.0,72.0,70.0,75.0,81.0
2008/2009,Germany 1. Bundesliga,Hertha BSC Berlin,25.4,32.0,20.0,182.1,195.6,175.3,172.9,209.0,152.0,64.71,11.76,23.53,Josip Simunic,81.0,81.5,75.0,82.0,81.0,78.0
2008/2009,Germany 1. Bundesliga,Karlsruher SC,25.7,32.0,19.0,183.0,193.0,170.2,172.0,196.0,143.0,73.91,26.09,0.0,Maik Franz,76.0,78.0,75.0,79.0,75.0,85.0
2008/2009,Germany 1. Bundesliga,SV Werder Bremen,24.7,32.0,19.0,186.8,198.1,177.8,181.6,214.0,161.0,76.19,23.81,0.0,Per Mertesacker,84.5,89.0,73.0,77.0,79.0,84.0
2008/2009,Germany 1. Bundesliga,TSG 1899 Hoffenheim,22.7,29.0,18.0,184.3,193.0,170.2,174.3,194.0,148.0,66.67,33.33,0.0,Boubacar Sanogo,77.5,82.0,84.5,76.0,68.0,73.0
2008/2009,Germany 1. Bundesliga,VfB Stuttgart,24.8,31.0,19.0,181.9,193.0,165.1,172.6,198.0,143.0,75.0,25.0,0.0,Mario Gomez,84.0,90.5,84.0,85.0,68.0,84.0
2008/2009,Germany 1. Bundesliga,VfL Bochum,26.9,33.0,20.0,183.8,198.1,175.3,176.5,207.0,154.0,72.73,27.27,0.0,Shinji Ono,76.5,74.0,53.0,66.0,75.0,67.0
2008/2009,Germany 1. Bundesliga,VfL Wolfsburg,24.5,29.0,21.0,181.9,193.0,167.6,170.4,203.0,134.0,72.22,27.78,0.0,Andrea Barzagli,80.0,84.0,72.0,81.0,80.0,82.0
2008/2009,Italy Serie A,Atalanta,26.0,35.0,20.0,180.8,198.1,172.7,167.9,194.0,143.0,68.18,31.82,0.0,Cristiano Doni,78.0,84.0,76.0,65.0,78.0,83.5
2008/2009,Italy Serie A,Bologna,27.7,35.0,18.0,180.0,193.0,170.2,161.9,181.0,141.0,82.61,17.39,0.0,Pablo Osvaldo,76.0,87.0,79.0,79.0,78.0,72.0
2008/2009,Italy Serie A,Cagliari,25.9,34.0,20.0,180.9,188.0,170.2,167.0,187.0,139.0,78.95,21.05,0.0,Robert Acquafresca,77.0,86.0,75.0,80.0,79.0,75.0
2008/2009,Italy Serie A,Catania,26.4,33.0,20.0,182.3,198.1,172.7,171.9,194.0,146.0,77.27,22.73,0.0,Pablo Martin Ledesma,77.0,82.0,77.0,68.0,84.0,73.0
2008/2009,Italy Serie A,Chievo Verona,27.7,32.0,23.0,181.4,190.5,170.2,171.0,196.0,150.0,78.26,17.39,4.35,Mario Yepes,80.0,89.0,75.0,78.0,82.0,86.0
2008/2009,Italy Serie A,Fiorentina,25.7,32.0,18.0,183.0,193.0,177.8,171.7,201.0,154.0,78.26,21.74,0.0,Adrian Mutu,85.0,85.0,83.0,69.0,72.0,77.0
2008/2009,Italy Serie A,Genoa,25.6,32.0,20.0,181.7,188.0,175.3,170.1,192.0,148.0,82.35,17.65,0.0,Diego Milito,82.5,85.0,79.5,84.0,72.5,78.0
2008/2009,Italy Serie A,Inter,27.0,35.0,17.0,182.4,195.6,172.7,175.3,209.0,148.0,72.73,27.27,0.0,Zlatan Ibrahimovic,89.0,94.0,81.0,78.0,70.0,82.0
2008/2009,Italy Serie A,Juventus,27.2,35.0,19.0,182.3,190.5,165.1,170.1,190.0,130.0,81.82,18.18,0.0,Alessandro Del Piero,87.0,90.0,78.0,62.0,72.0,67.0
2008/2009,Italy Serie A,Lazio,25.8,35.0,19.0,182.0,193.0,167.6,169.4,194.0,148.0,70.0,30.0,0.0,Tommaso Rocchi,84.0,85.0,79.0,76.0,79.0,80.0
2008/2009,Italy Serie A,Lecce,26.5,33.0,21.0,181.9,190.5,172.7,168.5,196.0,134.0,83.33,16.67,0.0,Andrea Zanchetta,75.0,80.0,51.0,,77.0,73.0
2008/2009,Italy Serie A,Milan,29.5,40.0,18.0,181.9,190.5,177.8,168.5,187.0,148.0,78.95,21.05,0.0,Andrea Pirlo,87.0,91.5,66.0,64.0,81.5,70.0
2008/2009,Italy Serie A,Napoli,25.6,31.0,20.0,179.5,188.0,170.2,167.3,196.0,141.0,80.95,19.05,0.0,Ezequiel Lavezzi,82.0,86.5,87.0,55.0,79.0,67.0
2008/2009,Italy Serie A,Palermo,25.4,32.0,18.0,181.5,193.0,167.6,171.0,198.0,152.0,70.0,25.0,5.0,Fabrizio Miccoli,80.5,84.0,85.0,54.0,73.0,60.0
2008/2009,Italy Serie A,Reggio Calabria,25.5,34.0,18.0,182.1,190.5,167.6,168.5,190.0,150.0,72.73,27.27,0.0,Franco Brienza,77.0,80.0,83.0,66.0,80.0,65.0
2008/2009,Italy Serie A,Roma,26.7,35.0,18.0,181.8,188.0,170.2,170.7,198.0,143.0,90.91,9.09,0.0,Francesco Totti,87.0,92.0,76.0,58.0,69.0,70.0
2008/2009,Italy Serie A,Sampdoria,25.8,33.0,18.0,182.4,193.0,172.7,171.4,187.0,154.0,76.19,23.81,0.0,Antonio Cassano,85.0,90.0,81.0,55.0,75.0,72.0
2008/2009,Italy Serie A,Siena,25.7,33.0,21.0,180.3,188.0,172.7,167.1,181.0,152.0,72.73,27.27,0.0,Nicola Amoruso,78.0,83.0,73.0,73.0,79.5,77.0
2008/2009,Italy Serie A,Torino,26.7,37.0,20.0,181.6,193.0,167.6,168.3,196.0,148.0,66.67,33.33,0.0,Alessandro Rosina,79.0,85.0,87.0,67.0,78.0,65.0
2008/2009,Italy Serie A,Udinese,23.9,34.0,19.0,180.5,190.5,170.2,169.4,190.0,137.0,71.43,28.57,0.0,Antonio Di Natale,85.5,88.0,89.0,65.0,81.0,70.0
2008/2009,Netherlands Eredivisie,ADO Den Haag,25.5,33.0,19.0,182.9,203.2,170.2,172.4,216.0,150.0,68.75,31.25,0.0,Berry Powel,66.0,70.0,70.0,71.0,63.0,75.0
2008/2009,Netherlands Eredivisie,AZ,22.8,29.0,18.0,182.3,193.0,175.3,167.7,187.0,146.0,55.56,44.44,0.0,Mounir El Hamdaoui,74.5,81.0,79.5,68.0,77.0,46.5
2008/2009,Netherlands Eredivisie,Ajax,23.3,29.0,19.0,179.5,188.0,167.6,169.3,196.0,143.0,63.64,36.36,0.0,Klaas Jan Huntelaar,84.0,90.0,83.0,80.0,76.0,77.5
2008/2009,Netherlands Eredivisie,De Graafschap,23.6,34.0,17.0,181.2,190.5,170.2,166.5,190.0,137.0,78.57,21.43,0.0,Ben Sahar,69.0,83.0,81.0,59.0,48.0,62.0
2008/2009,Netherlands Eredivisie,FC Groningen,24.5,31.0,19.0,183.3,193.0,175.3,171.6,192.0,159.0,76.47,23.53,0.0,Marcus Berg,74.0,80.0,76.0,75.0,69.0,70.0
2008/2009,Netherlands Eredivisie,FC Twente,25.2,33.0,19.0,181.8,193.0,172.7,175.2,198.0,154.0,68.75,25.0,6.25,Blaise N'Kufo,76.0,82.0,82.0,69.0,69.0,84.0
2008/2009,Netherlands Eredivisie,FC Utrecht,25.8,30.0,18.0,180.3,193.0,170.2,170.2,214.0,143.0,72.22,27.78,0.0,Simon Cziommer,73.0,83.0,74.0,61.0,81.0,64.0
2008/2009,Netherlands Eredivisie,FC Volendam,24.3,33.0,19.0,181.4,195.6,175.3,170.7,192.0,159.0,75.0,25.0,0.0,Furdjel Narsingh,68.0,71.0,83.0,33.0,51.0,53.0
2008/2009,Netherlands Eredivisie,Feyenoord,25.5,33.0,17.0,179.3,188.0,170.2,163.3,176.0,152.0,82.35,17.65,0.0,Roy Makaay,77.0,91.0,77.0,,67.0,71.0
2008/2009,Netherlands Eredivisie,Heracles Almelo,24.2,32.0,18.0,180.6,195.6,170.2,166.6,196.0,139.0,61.11,38.89,0.0,Birger Maertens,67.0,69.0,60.0,72.0,65.0,74.0
2008/2009,Netherlands Eredivisie,N.E.C.,24.6,36.0,19.0,179.9,188.0,170.2,168.6,196.0,141.0,76.47,23.53,0.0,Peter Wisgerhof,71.0,73.0,68.0,75.0,72.0,76.0
2008/2009,Netherlands Eredivisie,NAC Breda,28.6,33.0,20.0,180.3,193.0,170.2,169.8,194.0,154.0,56.25,43.75,0.0,Rob Penders,72.0,82.0,63.0,78.0,76.0,78.0
2008/2009,Netherlands Eredivisie,PSV,24.4,31.0,18.0,182.6,190.5,175.3,174.4,190.0,159.0,70.59,29.41,0.0,Carlos Salcido,79.5,83.0,77.5,78.0,80.0,78.0
2008/2009,Netherlands Eredivisie,Roda JC Kerkrade,25.0,30.0,20.0,180.0,190.5,170.2,166.4,179.0,150.0,73.33,26.67,0.0,Pa Modou Kah,72.5,76.0,62.0,82.0,79.0,74.0
2008/2009,Netherlands Eredivisie,SC Heerenveen,22.9,34.0,18.0,182.9,198.1,170.2,169.7,201.0,139.0,66.67,33.33,0.0,Danijel Pranjic,76.0,79.0,74.5,70.0,81.0,65.0
2008/2009,Netherlands Eredivisie,Sparta Rotterdam,23.6,31.0,18.0,182.6,193.0,175.3,169.1,190.0,139.0,73.68,26.32,0.0,Krisztian Vermes,69.0,72.0,68.0,64.0,70.0,71.0
2008/2009,Netherlands Eredivisie,Vitesse,23.0,27.0,18.0,182.9,190.5,172.7,166.6,185.0,157.0,78.57,21.43,0.0,Lasse Nilsson,70.0,76.0,80.0,63.0,71.0,68.0
2008/2009,Netherlands Eredivisie,Willem II,24.0,30.0,20.0,181.9,193.0,165.1,171.2,201.0,143.0,93.33,6.67,0.0,Frank Demouge,69.0,72.5,69.0,79.0,71.0,80.5
2008/2009,Poland Ekstraklasa,Arka Gdynia,22.5,29.0,17.0,183.5,188.0,175.3,172.0,183.0,150.0,50.0,50.0,0.0,"Bartosz Lawa,25",64.0,73.0,58.0,58.0,67.0,61.0
2008/2009,Poland Ekstraklasa,Cracovia,23.7,26.0,21.0,185.8,195.6,177.8,169.0,185.0,148.0,83.33,16.67,0.0,Pawel Sasin,64.0,68.0,71.0,42.0,88.0,57.0
2008/2009,Poland Ekstraklasa,GKS Bełchatów,23.8,28.0,19.0,177.8,185.4,175.3,160.2,179.0,150.0,40.0,60.0,0.0,Dariusz Pietrasiak,67.0,68.0,56.0,54.0,62.0,77.0
2008/2009,Poland Ekstraklasa,Jagiellonia Białystok,24.3,33.0,19.0,181.8,190.5,167.6,168.7,187.0,143.0,66.67,33.33,0.0,Neves Soares Hermes,64.0,66.0,67.0,62.0,73.0,51.0
2008/2009,Poland Ekstraklasa,Lech Poznań,24.1,28.0,19.0,180.1,188.0,172.7,163.8,185.0,143.0,60.0,30.0,10.0,Manuel Arboleda,69.5,75.0,73.0,86.0,70.5,78.0
2008/2009,Poland Ekstraklasa,Lechia Gdańsk,26.5,31.0,22.0,177.2,182.9,170.2,158.5,174.0,143.0,50.0,50.0,0.0,Marcin Kaczmarek,67.0,76.0,84.0,59.0,77.0,38.0
2008/2009,Poland Ekstraklasa,Legia Warszawa,22.0,27.0,16.0,180.3,185.4,170.2,163.8,179.0,154.0,100.0,0.0,0.0,Maciej Iwanski,72.0,76.0,63.0,80.0,64.0,41.0
2008/2009,Poland Ekstraklasa,Odra Wodzisław,24.0,32.0,20.0,175.8,180.3,170.2,160.0,174.0,143.0,60.0,20.0,20.0,Aleksander Kwiek,60.0,66.0,61.0,52.0,70.0,59.0
2008/2009,Poland Ekstraklasa,P. Warszawa,24.5,30.0,22.0,184.2,190.5,180.3,173.8,190.0,157.0,75.0,25.0,0.0,Lukasz Tralka,57.0,61.0,63.0,51.0,67.0,48.0
2008/2009,Poland Ekstraklasa,Piast Gliwice,20.7,22.0,20.0,183.7,190.5,175.3,169.7,179.0,154.0,100.0,0.0,0.0,Tomasz Podgorski,63.0,66.0,77.0,34.0,53.0,43.0
2008/2009,Poland Ekstraklasa,Polonia Bytom,23.5,27.0,19.0,182.3,188.0,175.3,171.5,185.0,161.0,69.23,30.77,0.0,Adam Banas,62.0,64.0,67.0,64.0,70.0,69.0
2008/2009,Poland Ekstraklasa,Ruch Chorzów,23.2,26.0,18.0,183.3,193.0,170.2,174.7,201.0,150.0,50.0,50.0,0.0,Tomasz Brzyski,56.0,60.0,62.0,73.0,68.0,62.0
2008/2009,Poland Ekstraklasa,Widzew Łódź,22.0,25.0,19.0,176.5,182.9,170.2,169.0,181.0,157.0,0.0,100.0,0.0,Jakub Biskup,63.0,63.0,71.0,32.0,52.0,64.0
2008/2009,Poland Ekstraklasa,Wisła Kraków,25.8,31.0,19.0,179.7,185.4,170.2,164.2,174.0,152.0,37.5,62.5,0.0,Pawel Brozek,73.0,79.0,69.0,58.0,70.0,62.0
2008/2009,Poland Ekstraklasa,Śląsk Wrocław,23.3,28.0,20.0,182.9,188.0,177.8,169.9,190.0,154.0,85.71,14.29,0.0,Sebastian Mila,67.0,72.0,62.0,55.0,65.0,66.0
2008/2009,Portugal Liga ZON Sagres,Académica de Coimbra,24.0,33.0,19.0,179.6,190.5,165.1,163.2,183.0,143.0,90.0,10.0,0.0,Jose Luis Garces,71.0,81.0,69.0,,70.0,72.0
2008/2009,Portugal Liga ZON Sagres,Amadora,24.7,35.0,19.0,182.7,193.0,172.7,172.8,190.0,154.0,88.24,11.76,0.0,Silvestre Varela,69.0,75.0,84.0,73.0,69.0,82.0
